Sample ID,SampleDate,Location,Seasonality,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,4:2 FTS,6:2 FTS,8:2 FTS,FOSA,N-MeFOSA,N-MeFOSAA,N-EtFOSAA,ADONA,3:3 FTCA,5:3 FTCA,7:3 FTCA,N-EtFOSA,N-MeFOSE,N-EtFOSE,HFPO-DA,PFMBA,NFDHA,9Cl-PF3ONS,11Cl-PF3OUdS,PFEESA,PFMPA,SumPFAS,log_PFBA,log_PFPeA,log_PFHxA,log_PFHpA,log_PFOA,log_PFNA,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFBS,log_PFPeS,log_PFHxS,log_PFHpS,log_PFOS,log_PFNS,log_PFDS,log_PFDoS,log_4:2 FTS,log_6:2 FTS,log_8:2 FTS,log_FOSA,log_N-MeFOSA,log_N-MeFOSAA,log_N-EtFOSAA,log_ADONA,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_N-EtFOSA,log_N-MeFOSE,log_N-EtFOSE,log_HFPO-DA,log_PFMBA,log_NFDHA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_PFEESA,log_PFMPA
JBA037-SED-SPILL-03302021,3/30/2021 0:00,Spill,Spring,0.2,0.1,0.16,0.09,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.34,0.05,0.94,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.17,-0.698970004,-1,-0.795880017,-1.045757491,-0.397940009,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.468521083,-1.301029996,-0.026872146,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA038-SED-RIPP-03302021,3/30/2021 0:00,Ripp,Spring,0.2,0.1,0.09,0.09,0.068,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.21,0.0495,1.2,0.0495,0.0495,0.0495,0.2,0.395,0.395,0.14,0.0495,0.0495,0.0495,0.2,0.245,1.25,1.25,0.0495,0.495,0.495,0.295,0.1,0.1,0.2,0.2,0.1,0.1,8.91,-0.698970004,-1,-1.045757491,-1.045757491,-1.167491087,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.677780705,-1.305394801,0.079181246,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.403402904,-0.403402904,-0.853871964,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.610833916,0.096910013,0.096910013,-1.305394801,-0.305394801,-0.305394801,-0.530177984,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA039-SED-DOWN-03302021,3/30/2021 0:00,Down,Spring,0.2,0.1,0.09,0.09,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.34,0.05,1.3,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.16,-0.698970004,-1,-1.045757491,-1.045757491,-1,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.468521083,-1.301029996,0.113943352,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA040-SED-EXIT-03302021,3/30/2021 0:00,Exit,Spring,0.2,0.1,0.09,0.09,0.14,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.18,0.05,0.78,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,8.52,-0.698970004,-1,-1.045757491,-1.045757491,-0.853871964,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.744727495,-1.301029996,-0.107905397,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA041-SED-SPILL-04022021,4/2/2021 0:00,Spill,Spring,0.08,0.04,0.17,0.02,0.332,0.066,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.33,0.02,0.972,0.02,0.02,0.02,0.08,0.08,0.08,0.02,0.02,0.02,0.02,0.08,0.08,0.5,0.5,,,,,,,,,,,3.71,-1.096910013,-1.397940009,-0.769551079,-1.698970004,-0.478861916,-1.180456064,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-0.48148606,-1.698970004,-0.012333735,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-1.096910013,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-0.301029996,-0.301029996,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA042-SED-RIPP-04022021,4/2/2021 0:00,Ripp,Spring,0.08,0.106,0.321,0.038,0.092,0.05,0.02,0.037,0.033,0.02,0.02,0.02,0.02,0.19,0.02,1.04,0.02,0.02,0.02,0.08,0.151,0.08,0.18,0.02,0.02,0.02,0.08,0.08,0.5,0.5,,,,,,,,,,,3.878,-1.096910013,-0.974694135,-0.493494968,-1.420216403,-1.036212173,-1.301029996,-1.698970004,-1.431798276,-1.48148606,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-0.721246399,-1.698970004,0.017033339,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-0.821023053,-1.096910013,-0.744727495,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-0.301029996,-0.301029996,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA043-SED-DOWN-04022021,4/2/2021 0:00,Down,Spring,0.08,0.091,0.28,0.039,0.127,0.053,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.49,0.02,1.71,0.02,0.02,0.02,0.08,0.455,0.176,0.142,0.02,0.02,0.02,0.08,0.08,0.5,0.5,,,,,,,,,,,5.163,-1.096910013,-1.040958608,-0.552841969,-1.408935393,-0.896196279,-1.27572413,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-0.30980392,-1.698970004,0.23299611,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-0.341988603,-0.754487332,-0.847711656,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-0.301029996,-0.301029996,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA044-SED-EXIT-04022021,4/2/2021 0:00,Exit,Spring,0.08,0.04,0.02,0.02,0.044,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.082,0.02,0.653,0.02,0.02,0.02,0.08,0.08,0.08,0.044,0.02,0.02,0.02,0.08,0.08,0.5,0.5,,,,,,,,,,,2.683,-1.096910013,-1.397940009,-1.698970004,-1.698970004,-1.356547324,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.086186148,-1.698970004,-0.185086819,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-1.096910013,-1.356547324,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-0.301029996,-0.301029996,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA045-SED-SPILL-04072021,4/7/2021 12:00,Spill,Spring,0.195,0.1,0.17,0.09,0.41,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.43,0.049,1.2,0.049,0.049,0.049,0.195,0.395,0.395,0.09,0.049,0.049,0.049,0.195,0.245,1.25,1.25,0.049,0.49,0.49,0.295,0.1,0.1,0.195,0.195,0.1,0.1,9.459,-0.709965389,-1,-0.769551079,-1.045757491,-0.387216143,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-0.366531544,-1.30980392,0.079181246,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.403402904,-0.403402904,-1.045757491,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.610833916,0.096910013,0.096910013,-1.30980392,-0.30980392,-0.30980392,-0.530177984,-1,-1,-0.709965389,-0.709965389,-1,-1
JBA046-SED-RIPP-04072021,4/7/2021 12:00,Ripp,Spring,0.2,0.1,0.09,0.09,0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.22,0.05,1.3,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.05,-0.698970004,-1,-1.045757491,-1.045757491,-0.958607315,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.657577319,-1.301029996,0.113943352,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA047-SED-DOWN-04072021,4/7/2021 12:00,Down,Spring,0.2,0.1,0.09,0.09,0.067,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.29,0.0495,1,0.0495,0.0495,0.0495,0.2,0.395,0.395,0.09,0.0495,0.0495,0.0495,0.2,0.245,1.25,1.25,0.0495,0.495,0.495,0.295,0.1,0.1,0.2,0.2,0.1,0.1,8.739,-0.698970004,-1,-1.045757491,-1.045757491,-1.173925197,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.537602002,-1.305394801,0,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.403402904,-0.403402904,-1.045757491,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.610833916,0.096910013,0.096910013,-1.305394801,-0.305394801,-0.305394801,-0.530177984,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA048-SED-EXIT-04072021,4/7/2021 12:00,Exit,Spring,0.2,0.1,0.09,0.09,0.082,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.22,0.0495,0.69,0.0495,0.0495,0.0495,0.2,0.395,0.395,0.09,0.0495,0.0495,0.0495,0.2,0.25,1.25,1.25,0.0495,0.495,0.495,0.3,0.1,0.1,0.2,0.2,0.1,0.1,8.384,-0.698970004,-1,-1.045757491,-1.045757491,-1.086186148,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.657577319,-1.305394801,-0.161150909,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.403402904,-0.403402904,-1.045757491,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.305394801,-0.305394801,-0.305394801,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA053-SED-SPILL-04132021,4/13/2021 12:00,Spill,Spring,0.2,0.1,0.19,0.09,0.37,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.5,0.0495,1.1,0.0495,0.0495,0.0495,0.2,0.4,0.4,0.09,0.0495,0.0495,0.0495,0.2,0.25,1.25,1.25,0.0495,0.495,0.495,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.472,-0.698970004,-1,-0.721246399,-1.045757491,-0.431798276,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.301029996,-1.305394801,0.041392685,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.305394801,-0.305394801,-0.305394801,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA054-SED-RIPP-04132021,4/13/2021 12:00,Ripp,Spring,0.195,0.1,0.094,0.09,0.1,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.24,0.049,1.3,0.049,0.049,0.049,0.195,0.395,0.395,0.11,0.049,0.049,0.049,0.195,0.245,1.25,1.25,0.049,0.49,0.49,0.295,0.1,0.1,0.195,0.195,0.1,0.1,9.003,-0.709965389,-1,-1.026872146,-1.045757491,-1,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-0.619788758,-1.30980392,0.113943352,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.403402904,-0.403402904,-0.958607315,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.610833916,0.096910013,0.096910013,-1.30980392,-0.30980392,-0.30980392,-0.530177984,-1,-1,-0.709965389,-0.709965389,-1,-1
JBA055-SED-DOWN-04132021,4/13/2021 12:00,Down,Spring,0.195,0.1,0.09,0.09,0.08,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.22,0.0495,1.2,0.0495,0.0495,0.0495,0.195,0.395,0.395,0.09,0.0495,0.0495,0.0495,0.195,0.245,1.25,1.25,0.0495,0.495,0.495,0.295,0.1,0.1,0.195,0.195,0.1,0.1,8.857,-0.709965389,-1,-1.045757491,-1.045757491,-1.096910013,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.657577319,-1.305394801,0.079181246,-1.305394801,-1.305394801,-1.305394801,-0.709965389,-0.403402904,-0.403402904,-1.045757491,-1.305394801,-1.305394801,-1.305394801,-0.709965389,-0.610833916,0.096910013,0.096910013,-1.305394801,-0.305394801,-0.305394801,-0.530177984,-1,-1,-0.709965389,-0.709965389,-1,-1
JBA056-SED-EXIT-04132021,4/13/2021 12:00,Exit,Spring,0.2,0.1,0.09,0.09,0.091,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.18,0.0495,0.6,0.0495,0.0495,0.0495,0.2,0.395,0.395,0.09,0.0495,0.0495,0.0495,0.2,0.25,1.25,1.25,0.0495,0.495,0.495,0.295,0.1,0.1,0.2,0.2,0.1,0.1,8.258,-0.698970004,-1,-1.045757491,-1.045757491,-1.040958608,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.744727495,-1.305394801,-0.22184875,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.403402904,-0.403402904,-1.045757491,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.305394801,-0.305394801,-0.305394801,-0.530177984,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA057-SED-SPILL-04152021,4/15/2021 12:00,Spill,Spring,0.195,0.1,0.13,0.09,0.26,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.28,0.049,0.79,0.049,0.049,0.049,0.195,0.395,0.395,0.09,0.049,0.049,0.049,0.195,0.245,1.25,1.25,0.049,0.49,0.49,0.295,0.1,0.1,0.195,0.195,0.1,0.1,8.709,-0.709965389,-1,-0.886056648,-1.045757491,-0.585026652,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-0.552841969,-1.30980392,-0.102372909,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.403402904,-0.403402904,-1.045757491,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.610833916,0.096910013,0.096910013,-1.30980392,-0.30980392,-0.30980392,-0.530177984,-1,-1,-0.709965389,-0.709965389,-1,-1
JBA058-SED-RIPP-04152021,4/15/2021 12:00,Ripp,Spring,0.2,0.1,0.092,0.09,0.1,0.0495,0.0495,0.0495,0.0495,0.38,0.0495,0.0495,0.0495,0.35,0.0495,2.2,0.0495,0.0495,0.0495,0.2,0.395,0.395,0.13,0.0495,0.0495,0.0495,0.2,0.245,1.25,1.25,0.0495,0.495,0.495,0.295,0.1,0.1,0.2,0.2,0.1,0.1,10.4045,-0.698970004,-1,-1.036212173,-1.045757491,-1,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.420216403,-1.305394801,-1.305394801,-1.305394801,-0.455931956,-1.305394801,0.342422681,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.403402904,-0.403402904,-0.886056648,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.610833916,0.096910013,0.096910013,-1.305394801,-0.305394801,-0.305394801,-0.530177984,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA059-SED-DOWN-04152021,4/15/2021 12:00,Down,Spring,0.2,0.1,0.09,0.09,0.12,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.22,0.0495,1.2,0.0495,0.0495,0.0495,0.2,0.395,0.395,0.09,0.0495,0.0495,0.0495,0.2,0.25,1.25,1.25,0.0495,0.495,0.495,0.3,0.1,0.1,0.2,0.2,0.1,0.1,8.932,-0.698970004,-1,-1.045757491,-1.045757491,-0.920818754,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.657577319,-1.305394801,0.079181246,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.403402904,-0.403402904,-1.045757491,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.305394801,-0.305394801,-0.305394801,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA060-SED-EXIT-04152021,4/15/2021 12:00,Exit,Spring,0.2,0.1,0.09,0.09,0.12,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.28,0.05,0.96,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,8.78,-0.698970004,-1,-1.045757491,-1.045757491,-0.920818754,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.552841969,-1.301029996,-0.017728767,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA061-SED-SPILL-04222021,4/22/2021 12:00,Spill,Spring,0.195,0.1,0.13,0.09,0.33,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.37,0.0495,1.2,0.0495,0.0495,0.0495,0.195,0.395,0.395,0.09,0.0495,0.0495,0.0495,0.195,0.245,1.25,1.25,0.0495,0.495,0.495,0.295,0.1,0.1,0.195,0.195,0.1,0.1,9.297,-0.709965389,-1,-0.886056648,-1.045757491,-0.48148606,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.431798276,-1.305394801,0.079181246,-1.305394801,-1.305394801,-1.305394801,-0.709965389,-0.403402904,-0.403402904,-1.045757491,-1.305394801,-1.305394801,-1.305394801,-0.709965389,-0.610833916,0.096910013,0.096910013,-1.305394801,-0.305394801,-0.305394801,-0.530177984,-1,-1,-0.709965389,-0.709965389,-1,-1
JBA062-SED-RIPP-04222021,4/22/2021 12:00,Ripp,Spring,0.195,0.1,0.09,0.09,0.11,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.51,0.049,3.4,0.049,0.049,0.049,0.195,0.395,0.395,0.093,0.049,0.049,0.049,0.195,0.245,1.25,1.25,0.049,0.49,0.49,0.295,0.1,0.1,0.195,0.195,0.1,0.1,11.362,-0.709965389,-1,-1.045757491,-1.045757491,-0.958607315,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-0.292429824,-1.30980392,0.531478917,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.403402904,-0.403402904,-1.031517051,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.610833916,0.096910013,0.096910013,-1.30980392,-0.30980392,-0.30980392,-0.530177984,-1,-1,-0.709965389,-0.709965389,-1,-1
JBA063-SED-DOWN-04222021,4/22/2021 12:00,Down,Spring,0.2,0.1,0.09,0.09,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.33,0.05,1.4,0.05,0.05,0.05,0.2,0.4,0.4,0.098,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.318,-0.698970004,-1,-1.045757491,-1.045757491,-0.795880017,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.48148606,-1.301029996,0.146128036,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.008773924,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA064-SED-EXIT-04222021,4/22/2021 12:00,Exit,Spring,0.2,0.1,0.09,0.09,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,1,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,8.87,-0.698970004,-1,-1.045757491,-1.045757491,-0.823908741,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.522878745,-1.301029996,0,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA069-SED-SPILL-04262021,4/26/2021 12:00,Spill,Spring,0.2,0.1,0.092,0.09,0.45,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.05,0.88,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.002,-0.698970004,-1,-1.036212173,-1.045757491,-0.346787486,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.602059991,-1.301029996,-0.055517328,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA070-SED-RIPP-04262021,4/26/2021 12:00,Ripp,Spring,0.2,0.1,0.09,0.09,0.12,0.05,0.05,0.05,0.054,0.05,0.05,0.05,0.05,0.29,0.05,1.9,0.05,0.05,0.05,0.2,0.4,0.4,0.13,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.774,-0.698970004,-1,-1.045757491,-1.045757491,-0.920818754,-1.301029996,-1.301029996,-1.301029996,-1.26760624,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.537602002,-1.301029996,0.278753601,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-0.886056648,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA071-SED-DOWN-04262021,4/26/2021 12:00,Down,Spring,0.2,0.1,0.09,0.09,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.27,0.05,1.4,0.05,0.05,0.05,0.2,0.4,0.4,0.093,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.243,-0.698970004,-1,-1.045757491,-1.045757491,-0.823908741,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.568636236,-1.301029996,0.146128036,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.031517051,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA072-SED-EXIT-04262021,4/26/2021 12:00,Exit,Spring,0.2,0.1,0.09,0.09,0.14,0.05,0.05,0.05,0.235,0.235,0.235,0.05,0.05,0.22,0.05,0.87,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.205,-0.698970004,-1,-1.045757491,-1.045757491,-0.853871964,-1.301029996,-1.301029996,-1.301029996,-0.628932138,-0.628932138,-0.628932138,-1.301029996,-1.301029996,-0.657577319,-1.301029996,-0.060480747,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA073-SED-SPILL-04282021,4/28/2021 0:00,Spill,Spring,0.08,0.091,0.176,0.04,0.308,0.055,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.235,0.02,1,0.02,0.02,0.02,0.08,0.08,0.08,0.02,0.02,0.02,0.02,0.08,0.08,0.5,0.5,,,,,,,,,,,3.685,-1.096910013,-1.040958608,-0.754487332,-1.397940009,-0.511449283,-1.259637311,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-0.628932138,-1.698970004,0,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-1.096910013,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-0.301029996,-0.301029996,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
