SampleID,Location,SampleDate,SedimentType,GrainSize,TOC,Gravel,Silt_Clay,Solids,PFBA,PFPeA,PFBS,PFHxA,PFPeS,PFHpA,PFHxS,PFOA,6:2 FTS,PFHpS,PFNA,PFOS,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFNS,PFDoS,4:2 FTS,8:2 FTS,FOSA,N-MeFOSA,N-MeFOSAA,N-EtFOSA,N-EtFOSAA,N-MeFOSE,N-EtFOSE,HFPO-DA,ADONA,PFMBA,NFDHA,9Cl-PF3ONS,11Cl-PF3OUdS,PFEESA,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFDS,PFMPA,SumPFAS,log_PFBA,log_PFPeA,log_PFBS,log_PFHxA,log_PFPeS,log_PFHpA,log_PFHxS,log_PFOA,log_6:2 FTS,log_PFHpS,log_PFNA,log_PFOS,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFNS,log_PFDoS,log_4:2 FTS,log_8:2 FTS,log_FOSA,log_N-MeFOSA,log_N-MeFOSAA,log_N-EtFOSA,log_N-EtFOSAA,log_N-MeFOSE,log_N-EtFOSE,log_HFPO-DA,log_ADONA,log_PFMBA,log_NFDHA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_PFEESA,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_PFDS,log_PFMPA
WG012-SED-HEAD-10152020,Head,10/15/2020 0:00,Medium Sand,0.678,103000,2.32,7.97,74.6,0.0625,,0.3665,0.3595,0.332,0.2194,3.5425,0.4223,1.3705,0.326,0.1308,50.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.057,-1.204119983,#NUM!,-0.435926021,-0.444301105,-0.478861916,-0.658763377,0.549309859,-0.374378919,0.13687904,-0.4867824,-0.883392256,1.706931038,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG013-SED-WEST-10202020,North,10/20/2020 0:00,Silt,0.648,6940,21.37,61.91,28.8,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.2992,0.125,0.0692,0.0502,0.125,5.9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0892,-1.204119983,-1.204119983,-0.903089987,-1.204119983,-1.204119983,-1.204119983,-0.524038411,-0.903089987,-1.159893906,-1.299296283,-0.903089987,0.776926262,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG014-SED-SPILL-10202020,Spill,10/20/2020 0:00,Medium Sand,0.199,25800,9.45,10.48,74.8,0.0625,0.1303,0.125,0.2528,0.1738,0.1301,1.008,0.3713,0.568,0.0964,0.125,17.1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2207,-1.204119983,-0.885055584,-0.903089987,-0.59722293,-0.759950228,-0.885722703,0.003460532,-0.430275051,-0.245651664,-1.015922966,-0.903089987,1.234959957,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG015-SED-EAST-10202020,South,10/20/2020 0:00,Silt,0.456,11300,5.37,73.68,46.2,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.2493,0.125,0.0898,0.0436,0.125,3.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3122,-1.204119983,-1.204119983,-0.903089987,-1.204119983,-1.204119983,-1.204119983,-0.603277721,-0.903089987,-1.046723663,-1.360513511,-0.903089987,0.510813011,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG016-SED-HEAD-10202020,Head,10/20/2020 0:00,Medium Sand,0.678,103000,2.32,7.97,74.6,0.0625,0.0625,0.2967,0.3084,0.29,0.129,1.6618,0.4261,0.8254,0.3884,0.125,11.7208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2966,-1.204119983,-1.204119983,-0.527682454,-0.510885631,-0.537602002,-0.88941029,0.220578755,-0.370488466,-0.083335535,-0.410720779,-0.903089987,1.068957255,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG017-SED-WEST-10232020,North,10/23/2020 0:00,Silt,0.648,6940,21.37,61.91,28.8,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1792,0.125,0.0884,0.0394,0.125,1.2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2223,-1.204119983,-1.204119983,-0.903089987,-1.204119983,-1.204119983,-1.204119983,-0.746661995,-0.903089987,-1.053547735,-1.404503778,-0.903089987,0.089127629,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG018-SED-SPILL-10232020,Spill,10/23/2020 0:00,Medium Sand,0.199,25800,9.45,10.48,74.8,0.0625,0.1323,0.2793,0.3319,0.2678,0.1431,1.061,0.4149,0.8034,0.1488,0.125,13.0288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7988,-1.204119983,-0.878440156,-0.553929064,-0.478992748,-0.572189427,-0.844360366,0.025715384,-0.382056565,-0.095068173,-0.827397069,-0.903089987,1.114904417,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG019-SED-EAST-10232020,South,10/23/2020 0:00,Silt,0.678,11300,5.37,73.68,46.2,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.228,0.125,0.0861,0.0375,0.125,2.4598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4989,-1.204119983,-1.204119983,-0.903089987,-1.204119983,-1.204119983,-1.204119983,-0.642065153,-0.903089987,-1.064996849,-1.425968732,-0.903089987,0.390899797,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG021-SED-WEST-10272020,North,10/27/2020 0:00,Silt,0.199,6940,21.37,61.91,28.8,0.0625,0.0625,0.125,0.1451,0.0625,0.0625,0.1747,0.125,0.1746,,0.125,1.0768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1962,-1.204119983,-1.204119983,-0.903089987,-0.838332588,-1.204119983,-1.204119983,-0.757707095,-0.903089987,-0.757955761,#NUM!,-0.903089987,0.032135047,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG022-SED-SPILL-10272020,Spill,10/27/2020 0:00,Medium Sand,0.678,25800,9.45,10.48,74.8,0.1291,0.1534,0.125,0.3393,0.2058,0.1525,1.3074,0.4281,0.8046,0.1859,0.125,17.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0394,-0.889073758,-0.81417464,-0.903089987,-0.46941614,-0.68655463,-0.816730156,0.116408481,-0.368454772,-0.094419972,-0.73072061,-0.903089987,1.232571768,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
