SampleID,SampleDate,Species,Sex,Tissue,Length,Weight,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFBS,PFPeS,PFHxS,PFHpS,PFOS,6:2 FTS,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFNS,PFDS,PFDoS,4:2 FTS,8:2 FTS,10:2 FTS,N-MeFOSAA,N-EtFOSAA,FOSA,FOSAA,N-MeFOSA,N-EtFOSA,HFPO-DA,ADONA,9Cl-PF3ONS,11Cl-PF3OUdS,3:3 FTCA,5:3 FTCA,7:3 FTCA,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,6:2 diPAP,FBSA,FHxSA,PFPrS,Cl-PFOS,PFEtCHxS,8:2 diPAP,diSAmPAP,SumPFAS,log_PFBA,log_PFPeA,log_PFHxA,log_PFHpA,log_PFOA,log_PFNA,log_PFBS,log_PFPeS,log_PFHxS,log_PFHpS,log_PFOS,log_6:2 FTS,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFHxDA,log_PFNS,log_PFDS,log_PFDoS,log_4:2 FTS,log_8:2 FTS,log_10:2 FTS,log_N-MeFOSAA,log_N-EtFOSAA,log_FOSA,log_FOSAA,log_N-MeFOSA,log_N-EtFOSA,log_HFPO-DA,log_ADONA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_6:2 FTCA,log_8:2 FTCA,log_10:2 FTCA,log_6:2 FTUCA,log_8:2 FTUCA,log_6:2 diPAP,log_FBSA,log_FHxSA,log_PFPrS,log_Cl-PFOS,log_PFEtCHxS,log_8:2 diPAP,log_diSAmPAP
BG002-GN-07302020,11/10/2020 0:00,Bluegill,M,Gonad,17,223,1.21,0.063,2.75,5.52,4.09,9.06,0.063,0.7635,41.2,1.39,3370,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3436.1725,0.08278537,-1.200659451,0.439332694,0.741939078,0.611723308,0.957128198,-1.200659451,-0.117190959,1.614897216,0.1430148,3.527629901,-1.200659451,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG002-LIV-07302020,11/10/2020 0:00,Bluegill,M,Liver,17,223,0.387,0.0294,0.629,0.681,1.15,0.609,0.0294,0.097,7.47,0.956,847,0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.0672,-0.412289035,-1.53165267,-0.201349355,-0.166852888,0.06069784,-0.215382707,-1.53165267,-1.013228266,0.873320602,-0.019542108,2.92788341,-1.53165267,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG002-MU-07302020,11/10/2020 0:00,Bluegill,M,Muscle,17,223,0.934,0.0313,1.77,2.31,6.26,3.48,0.0313,0.517,35.9,3.21,4680,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4734.4749,-0.029653124,-1.504455662,0.247973266,0.36361198,0.796574333,0.541579244,-1.504455662,-0.286509457,1.555094449,0.506505032,3.670245853,-1.504455662,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG004-GN-07302020,11/10/2020 0:00,Bluegill,M,Gonad,14,130,0.0515,0.0515,0.0515,0.1705,0.0515,0.0515,0.0515,0.0515,12,0.541,2140,0.0515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153.1235,-1.288192771,-1.288192771,-1.288192771,-0.768275617,-1.288192771,-1.288192771,-1.288192771,-1.288192771,1.079181246,-0.266802735,3.330413773,-1.288192771,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG004-LIV-07302020,11/10/2020 0:00,Bluegill,M,Liver,14,130,0.0363,0.0363,0.0363,0.299,0.844,0.876,0.0363,0.1195,23.9,1.7,5730,0.0363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5757.92,-1.440093375,-1.440093375,-1.440093375,-0.524328812,-0.073657553,-0.057495894,-1.440093375,-0.922632095,1.378397901,0.230448921,3.758154622,-1.440093375,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG004-MU-07302020,11/10/2020 0:00,Bluegill,M,Muscle,14,130,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,2.23,0.0324,428,0.0324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.554,-1.48945499,-1.48945499,-1.48945499,-1.48945499,-1.48945499,-1.48945499,-1.48945499,-1.48945499,0.348304863,-1.48945499,2.631443769,-1.48945499,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG005-GN-07302020,11/10/2020 0:00,Bluegill,F,Gonad,14,121,0.0278,0.0278,0.0278,0.0278,0.0278,0.183,0.0278,0.0278,7.99,1,2140,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2149.3954,-1.555955204,-1.555955204,-1.555955204,-1.555955204,-1.555955204,-0.73754891,-1.555955204,-1.555955204,0.902546779,0,3.330413773,-1.555955204,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG005-LIV-07302020,11/10/2020 0:00,Bluegill,F,Liver,14,121,0.0358,0.0358,0.0358,0.0358,0.118,0.309,0.0358,0.118,16.3,0.854,5620,0.0358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5637.9138,-1.446116973,-1.446116973,-1.446116973,-1.446116973,-0.928117993,-0.510041521,-1.446116973,-0.928117993,1.212187604,-0.068542129,3.749736316,-1.446116973,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG005-MU-07302020,11/10/2020 0:00,Bluegill,F,Muscle,14,121,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,1.08,0.0315,358,0.0315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.395,-1.501689446,-1.501689446,-1.501689446,-1.501689446,-1.501689446,-1.501689446,-1.501689446,-1.501689446,0.033423755,-1.501689446,2.553883027,-1.501689446,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG006-GN-07302020,11/10/2020 0:00,Bluegill,F,Gonad,14,89,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.1445,7.5,0.459,1600,0.0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.4539,-1.358525889,-1.358525889,-1.358525889,-1.358525889,-1.358525889,-1.358525889,-1.358525889,-0.840132153,0.875061263,-0.338187314,3.204119983,-1.358525889,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG006-LIV-07302020,11/10/2020 0:00,Bluegill,F,Liver,14,89,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.14,13.5,0.606,3720,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734.586,-1.37161107,-1.37161107,-1.37161107,-1.37161107,-1.37161107,-1.37161107,-1.37161107,-0.853871964,1.130333768,-0.217527376,3.57054294,-1.37161107,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG006-MU-07302020,11/10/2020 0:00,Bluegill,F,Muscle,14,89,0.0326,0.0326,0.0326,0.0326,0.0326,0.0326,0.0326,0.0326,0.992,0.0326,331,0.0326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.318,-1.4867824,-1.4867824,-1.4867824,-1.4867824,-1.4867824,-1.4867824,-1.4867824,-1.4867824,-0.003488328,-1.4867824,2.519827994,-1.4867824,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG010-GON-01122021,11/10/2020 0:00,Bluegill,F,Gonad,20,152.05,0.0482,0.0482,0.0482,0.0482,0.0965,0.0965,0.0482,0.0965,3.65,1.09,1370,0.0482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.3187,-1.316952962,-1.316952962,-1.316952962,-1.316952962,-1.015472687,-1.015472687,-1.316952962,-1.015472687,0.562292864,0.037426498,3.136720567,-1.316952962,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG010-LIV-01122021,11/10/2020 0:00,Bluegill,F,Liver,20,152.05,0.2275,0.1138,0.1138,0.2275,0.2275,0.1138,0.1138,0.1138,3.45,1.49,2170,0.1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176.3053,-0.643018599,-0.943857738,-0.943857738,-0.643018599,-0.643018599,-0.943857738,-0.943857738,-0.943857738,0.537819095,0.173186268,3.336459734,-0.943857738,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG010-MU-01122021,11/10/2020 0:00,Bluegill,F,Muscle,20,152.05,0.0458,0.0917,0.0917,0.0917,0.0458,0.0917,0.0458,0.0458,1.39,0.0917,381,0.0458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.0775,-1.339134522,-1.037630664,-1.037630664,-1.037630664,-1.339134522,-1.037630664,-1.339134522,-1.339134522,0.1430148,-1.037630664,2.580924976,-1.339134522,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG011-LIV-01122021,11/10/2020 0:00,Bluegill,M,Liver,18,132.6,0.078005617,0.137797697,0.105277476,0.167705617,0.167705617,0.290184135,0.132718966,0.222038067,24.5,3.2,8910,0.117722802,14.2,24.9,139,22.1,25.4,2.23,11.9,11.5,6.12,0.160193828,8.97,14.1,0.196208068,0.169282517,7.27,0.153728003,0.150246365,0.227589615,0.279870872,0.195028084,0.135370288,0.153680286,0.22496272,0.147178967,24,3.74,5.35,0.291019446,0.153135378,0.117856354,0.207613039,20.2,53.1,0.148797308,1.4,0.078011234,0.258570966,0.343249428,9338.390749,-1.107874125,-0.860758039,-0.977664535,-0.775452392,-0.775452392,-0.537326335,-0.877067011,-0.653572562,1.389166084,0.505149978,3.949877704,-0.929139408,1.152288344,1.396199347,2.1430148,1.344392274,1.404833717,0.348304863,1.075546961,1.06069784,0.786751422,-0.795354221,0.952792443,1.149219113,-0.707283139,-0.771387891,0.861534411,-0.813247014,-0.823196026,-0.642847558,-0.5530423,-0.709902846,-0.868476647,-0.813381839,-0.647889446,-0.832154251,1.380211242,0.572871602,0.728353782,-0.536077991,-0.814924464,-0.928646997,-0.682745375,1.305351369,1.725094521,-0.827404926,0.146128036,-1.107842854,-0.587420243,-0.464390178
BG011-MU-01122021,11/10/2020 0:00,Bluegill,M,Muscle,18,132.6,0.0476,0.0476,0.0476,0.0952,0.0952,0.0952,0.0476,0.0476,1.74,0.403,584,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.7142,-1.322393047,-1.322393047,-1.322393047,-1.021363052,-1.021363052,-1.021363052,-1.322393047,-1.322393047,0.240549248,-0.394694954,2.766412847,-1.322393047,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG015-GON-01122021,11/10/2020 0:00,Bluegill,F,Gonad,16,80.75,0.0806,0.0806,0.1612,0.1612,0.1612,0.0806,0.0806,0.1612,3.15,0.595,1080,0.0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.7928,-1.093664958,-1.093664958,-0.792634963,-0.792634963,-0.792634963,-1.093664958,-1.093664958,-0.792634963,0.498310554,-0.225483034,3.033423755,-1.093664958,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG015-MU-01122021,11/10/2020 0:00,Bluegill,F,Muscle,16,80.75,0.0426,0.0426,0.0426,0.0852,0.0426,0.0852,0.0426,0.0426,1.01,0.0852,311,0.0426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.5638,-1.370590401,-1.370590401,-1.370590401,-1.069560405,-1.370590401,-1.069560405,-1.370590401,-1.370590401,0.004321374,-1.069560405,2.492760389,-1.370590401,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG016-GON-01122021,11/10/2020 0:00,Bluegill,F,Gonad,18,133.25,0.0496,0.0496,0.0496,0.0496,0.0992,0.0496,0.0496,0.0992,4.54,0.797,841,0.0496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.8826,-1.304518324,-1.304518324,-1.304518324,-1.304518324,-1.003488328,-1.304518324,-1.304518324,-1.003488328,0.657055853,-0.098541679,2.924795996,-1.304518324,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG016-LIV-01122021,11/10/2020 0:00,Bluegill,F,Liver,18,133.25,0.2115,0.1057,0.1057,0.592,0.2115,0.1057,0.1057,0.1057,3.58,1.38,1350,0.1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356.6092,-0.674689628,-0.975925013,-0.975925013,-0.227678293,-0.674689628,-0.975925013,-0.975925013,-0.975925013,0.553883027,0.139879086,3.130333768,-0.975925013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG016-MU-01122021,11/10/2020 0:00,Bluegill,F,Muscle,18,133.25,0.0434,0.0434,0.0869,0.0869,0.0434,0.0869,0.0434,0.0434,0.414,0.0869,167,0.0434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.022,-1.36251027,-1.36251027,-1.060980224,-1.060980224,-1.36251027,-1.060980224,-1.36251027,-1.36251027,-0.382999659,-1.060980224,2.222716471,-1.36251027,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG017-GON-01122021,11/10/2020 0:00,Bluegill,F,Gonad,20,172.65,0.0686,0.0686,0.0686,0.1372,0.1372,0.0686,0.0686,0.1372,3.01,1.25,1910,0.0686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915.0832,-1.163675884,-1.163675884,-1.163675884,-0.862645889,-0.862645889,-1.163675884,-1.163675884,-0.862645889,0.478566496,0.096910013,3.281033367,-1.163675884,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG017-LIV-01122021,11/10/2020 0:00,Bluegill,F,Liver,20,172.65,0.0655,0.0655,0.0655,1,0.131,0.0655,0.0655,0.0655,2.88,1.75,3140,0.0655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3146.2195,-1.1837587,-1.1837587,-1.1837587,0,-0.882728704,-1.1837587,-1.1837587,-1.1837587,0.459392488,0.243038049,3.496929648,-1.1837587,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG017-MU-01122021,11/10/2020 0:00,Bluegill,F,Muscle,20,172.65,0.0469,0.0939,0.0469,0.359,0.0939,0.0939,0.0469,0.0469,1.05,0.244,364,0.0469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.1692,-1.328827157,-1.027334408,-1.328827157,-0.444905551,-1.027334408,-1.027334408,-1.328827157,-1.328827157,0.021189299,-0.612610174,2.561101384,-1.328827157,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG018-GON-01122021,11/10/2020 0:00,Bluegill,F,Gonad,17,137.6,0.0528,0.0528,0.0528,0.0528,0.1056,0.0528,0.0528,0.1056,5.56,2.66,1810,0.0528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818.8008,-1.277366077,-1.277366077,-1.277366077,-1.277366077,-0.976336082,-1.277366077,-1.277366077,-0.976336082,0.745074792,0.424881637,3.257678575,-1.277366077,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG018-LIV-01122021,11/10/2020 0:00,Bluegill,F,Liver,17,137.6,0.0955,0.0955,0.0955,1.09,0.1909,0.0955,0.0955,0.1909,7.83,4.48,4100,0.0955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4114.3548,-1.019996628,-1.019996628,-1.019996628,0.037426498,-0.719194072,-1.019996628,-1.019996628,-0.719194072,0.893761762,0.651278014,3.612783857,-1.019996628,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG018-MU-01122021,11/10/2020 0:00,Bluegill,F,Muscle,17,137.6,0.0434,0.0434,0.0434,0.0434,0.0876,0.0434,0.0434,0.0434,1.93,0.539,511,0.0434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.9038,-1.36251027,-1.36251027,-1.36251027,-1.36251027,-1.057495894,-1.36251027,-1.36251027,-1.36251027,0.285557309,-0.268411235,2.7084209,-1.36251027,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
