SampleID,SampleDate,Species,Sex,Tissue,Length,Weight,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFBS,PFPeS,PFHxS,PFHpS,PFOS,6:2 FTS,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFNS,PFDS,PFDoS,4:2 FTS,8:2 FTS,10:2 FTS,N-MeFOSAA,N-EtFOSAA,FOSA,FOSAA,N-MeFOSA,N-EtFOSA,HFPO-DA,ADONA,9Cl-PF3ONS,11Cl-PF3OUdS,3:3 FTCA,5:3 FTCA,7:3 FTCA,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,6:2 diPAP,FBSA,FHxSA,PFPrS,Cl-PFOS,PFEtCHxS,8:2 diPAP,diSAmPAP,SumPFAS,log_PFBA,log_PFPeA,log_PFHxA,log_PFHpA,log_PFOA,log_PFNA,log_PFBS,log_PFPeS,log_PFHxS,log_PFHpS,log_PFOS,log_6:2 FTS,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFHxDA,log_PFNS,log_PFDS,log_PFDoS,log_4:2 FTS,log_8:2 FTS,log_10:2 FTS,log_N-MeFOSAA,log_N-EtFOSAA,log_FOSA,log_FOSAA,log_N-MeFOSA,log_N-EtFOSA,log_HFPO-DA,log_ADONA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_6:2 FTCA,log_8:2 FTCA,log_10:2 FTCA,log_6:2 FTUCA,log_8:2 FTUCA,log_6:2 diPAP,log_FBSA,log_FHxSA,log_PFPrS,log_Cl-PFOS,log_PFEtCHxS,log_8:2 diPAP,log_diSAmPAP
LMB031-STO-08192021,8/19/2021 0:00,Largemouth Bass,F,Stomach,30,448.45,0.172,0.069,0.069,0.069,0.069,0.069,0.069,0.233,6.57,2.82,4920,0.069,8.26,18.9,25.3,17.9,16.1,0.069,35.1,59.6,25.7,0.3445,0.807,12,0.172,0.069,7.62,0.172,0.3445,0.069,0.069,0.069,0.3445,0.3445,0.69,0.3445,0.233,0.172,12.5,0.69,0.069,0.069,0.069,36.1,15.1,0.3445,8.87,0.069,0.069,0.069,5235.09,-0.764471553,-1.161150909,-1.161150909,-1.161150909,-1.161150909,-1.161150909,-1.161150909,-0.632644079,0.81756537,0.450249108,3.691965103,-1.161150909,0.916980047,1.276461804,1.403120521,1.252853031,1.206825876,-1.161150909,1.545307116,1.77524626,1.409933123,-0.462810774,-0.093126465,1.079181246,-0.764471553,-1.161150909,0.881954971,-0.764471553,-0.462810774,-1.161150909,-1.161150909,-1.161150909,-0.462810774,-0.462810774,-0.161150909,-0.462810774,-0.632644079,-0.764471553,1.096910013,-0.161150909,-1.161150909,-1.161150909,-1.161150909,1.557507202,1.178976947,-0.462810774,0.94792362,-1.161150909,-1.161150909,-1.161150909
LMB032-GON-08192021,8/19/2021 0:00,Largemouth Bass,F,Gonad,33,581.25,0.103,0.04125,0.04125,0.04125,0.04125,0.385,0.093,0.233,20.8,8.48,6480,0.04125,25.6,30.1,36.4,29.4,35.1,1.53,36.5,52.2,27.6,0.206,2.35,8.66,0.103,0.04125,7.91,0.103,0.206,0.04125,0.04125,0.04125,0.206,0.4655,0.4125,0.206,0.233,0.103,0.93,0.4125,0.04125,0.04125,0.04125,28.4,15.2,0.206,15.2,0.206,0.04125,0.04125,6866.82,-0.987162775,-1.384576047,-1.384576047,-1.384576047,-1.384576047,-0.41453927,-1.031517051,-0.632644079,1.318063335,0.928395852,3.811575006,-1.384576047,1.408239965,1.478566496,1.561101384,1.46834733,1.545307116,0.184691431,1.562292864,1.717670503,1.440909082,-0.68613278,0.371067862,0.937517892,-0.987162775,-1.384576047,0.898176483,-0.987162775,-0.68613278,-1.384576047,-1.384576047,-1.384576047,-0.68613278,-0.332080315,-0.384576047,-0.68613278,-0.632644079,-0.987162775,-0.031517051,-0.384576047,-1.384576047,-1.384576047,-1.384576047,1.45331834,1.181843588,-0.68613278,1.181843588,-0.68613278,-1.384576047,-1.384576047
LMB032-LIV-08192021,8/19/2021 0:00,Largemouth Bass,F,Liver,33,581.25,0.1055,0.04225,0.04225,0.04225,0.04225,0.04225,0.04225,0.233,19.1,9.48,5710,0.04225,17.6,15.1,23.9,23.2,45.2,1.03,31.7,45.1,23.9,0.211,1.7,6.31,0.1055,0.04225,8.31,0.1055,0.211,0.04225,0.04225,0.04225,0.211,0.211,0.4225,0.211,0.1055,0.1055,0.4225,0.4225,0.04225,0.04225,0.04225,7.89,7.23,0.211,18.8,0.196,0.04225,0.04225,6019.716,-0.97674754,-1.374173287,-1.374173287,-1.374173287,-1.374173287,-1.374173287,-1.374173287,-0.632644079,1.281033367,0.976808337,3.756636108,-1.374173287,1.245512668,1.178976947,1.378397901,1.365487985,1.655138435,0.012837225,1.501059262,1.654176542,1.378397901,-0.675717545,0.230448921,0.800029359,-0.97674754,-1.374173287,0.919601024,-0.97674754,-0.675717545,-1.374173287,-1.374173287,-1.374173287,-0.675717545,-0.675717545,-0.374173287,-0.675717545,-0.97674754,-0.97674754,-0.374173287,-0.374173287,-1.374173287,-1.374173287,-1.374173287,0.897077003,0.859138297,-0.675717545,1.274157849,-0.707743929,-1.374173287,-1.374173287
LMB032-MU-08192021,8/19/2021 0:00,Largemouth Bass,F,Muscle,33,581.25,0.103,0.0412,0.0412,0.0412,0.0412,0.0412,0.0412,0.233,1.76,0.488,696,0.0412,2.02,3.81,4.55,2.89,3.22,0.093,5.47,8.87,2.72,0.206,0.093,1.34,0.103,0.0412,0.336,0.103,0.206,0.0412,0.0412,0.0412,0.206,0.206,0.412,0.206,0.233,0.103,1.92,0.93,0.0412,0.0412,0.0412,0.666,0.4655,0.206,1.15,0.0412,0.0412,0.0412,742.0179,-0.987162775,-1.385102784,-1.385102784,-1.385102784,-1.385102784,-1.385102784,-1.385102784,-0.632644079,0.245512668,-0.311580178,2.84260924,-1.385102784,0.305351369,0.580924976,0.658011397,0.460897843,0.507855872,-1.031517051,0.737987326,0.94792362,0.434568904,-0.68613278,-1.031517051,0.127104798,-0.987162775,-1.385102784,-0.473660723,-0.987162775,-0.68613278,-1.385102784,-1.385102784,-1.385102784,-0.68613278,-0.68613278,-0.385102784,-0.68613278,-0.632644079,-0.987162775,0.283301229,-0.031517051,-1.385102784,-1.385102784,-1.385102784,-0.176525771,-0.332080315,-0.68613278,0.06069784,-1.385102784,-1.385102784,-1.385102784
LMB032-STO-08192021,8/19/2021 0:00,Largemouth Bass,F,Stomach,33,581.25,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.5,5.7,2.04,2520,0.2,5.51,10,13.1,12.2,11.4,0.093,26.7,50.3,19.6,1,0.868,6.33,0.5,0.2,6.64,0.5,1,0.2,0.2,0.2,1,1,2,1,0.5,0.5,14.7,0.93,0.2,0.2,0.2,25.9,9.42,1,5.13,0.2,0.2,0.2,2760.961,-0.301029996,-0.698970004,-0.698970004,-0.698970004,-0.698970004,-0.698970004,-0.698970004,-0.301029996,0.755874856,0.309630167,3.401400541,-0.698970004,0.741151599,1,1.117271296,1.086359831,1.056904851,-1.031517051,1.426511261,1.701567985,1.292256071,0,-0.061480275,0.80140371,-0.301029996,-0.698970004,0.822168079,-0.301029996,0,-0.698970004,-0.698970004,-0.698970004,0,0,0.301029996,0,-0.301029996,-0.301029996,1.167317335,-0.031517051,-0.698970004,-0.698970004,-0.698970004,1.413299764,0.974050903,0,0.710117365,-0.698970004,-0.698970004,-0.698970004
LMB033-GON-08192021,8/19/2021 0:00,Largemouth Bass,M,Gonad,27,291.95,0.3905,0.1565,0.1565,0.1565,0.1565,0.093,0.1565,0.233,16,5.19,5510,0.1565,15.4,30.1,39.3,34,31.4,1.14,50.6,70.6,29.6,0.78,2.36,8.54,0.3905,0.1565,4.82,0.3905,0.78,0.1565,0.1565,0.1565,0.78,0.78,1.565,0.78,0.3905,0.3905,6.56,0.93,0.1565,0.1565,0.1565,13.3,5.65,0.78,9.62,0.1565,0.1565,0.1565,5896.1375,-0.408378962,-0.805485658,-0.805485658,-0.805485658,-0.805485658,-1.031517051,-0.805485658,-0.632644079,1.204119983,0.715167358,3.741151599,-0.805485658,1.187520721,1.478566496,1.59439255,1.531478917,1.496929648,0.056904851,1.704150517,1.848804701,1.471291711,-0.107905397,0.372912003,0.931457871,-0.408378962,-0.805485658,0.683047038,-0.408378962,-0.107905397,-0.805485658,-0.805485658,-0.805485658,-0.107905397,-0.107905397,0.194514342,-0.107905397,-0.408378962,-0.408378962,0.816903839,-0.031517051,-0.805485658,-0.805485658,-0.805485658,1.123851641,0.752048448,-0.107905397,0.983175072,-0.805485658,-0.805485658,-0.805485658
LMB033-LIV-08192021,8/19/2021 0:00,Largemouth Bass,M,Liver,27,291.95,0.1065,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.233,27,15.4,7420,0.0425,15.9,20.1,28.2,22.6,33.6,0.802,43.2,58.9,30.8,0.2125,2.7,7.04,0.1065,0.0425,12.9,0.1065,0.2125,0.0425,0.0425,0.0425,0.2125,0.2125,0.425,0.2125,0.1065,0.1065,0.425,0.425,0.0425,0.0425,0.0425,17.2,8.96,0.2125,24.2,0.263,0.0425,0.0425,7793.7605,-0.972650392,-1.37161107,-1.37161107,-1.37161107,-1.37161107,-1.37161107,-1.37161107,-0.632644079,1.431363764,1.187520721,3.870403905,-1.37161107,1.201397124,1.303196057,1.450249108,1.354108439,1.526339277,-0.095825632,1.635483747,1.770115295,1.488550717,-0.672641066,0.431363764,0.847572659,-0.972650392,-1.37161107,1.11058971,-0.972650392,-0.672641066,-1.37161107,-1.37161107,-1.37161107,-0.672641066,-0.672641066,-0.37161107,-0.672641066,-0.972650392,-0.972650392,-0.37161107,-0.37161107,-1.37161107,-1.37161107,-1.37161107,1.235528447,0.95230801,-0.672641066,1.383815366,-0.580044252,-1.37161107,-1.37161107
LMB033-MU-08192021,8/19/2021 0:00,Largemouth Bass,M,Muscle,27,291.95,0.114,0.04555,0.04555,0.04555,0.04555,0.093,0.04555,0.233,2.53,0.751,914,0.04555,2.3,4.34,5.19,3.42,3.38,0.093,6.93,10.2,3.4,0.228,0.326,1.71,0.114,0.04555,0.5,0.114,0.228,0.04555,0.04555,0.04555,0.228,0.228,0.4555,0.228,0.233,0.114,2.33,0.93,0.04555,0.04555,0.04555,1.36,0.4655,0.228,1.3,0.04555,0.04555,0.04555,969.0228,-0.943095149,-1.341511619,-1.341511619,-1.341511619,-1.341511619,-1.031517051,-1.341511619,-0.632644079,0.403120521,-0.124360063,2.960946196,-1.341511619,0.361727836,0.63748973,0.715167358,0.534026106,0.5289167,-1.031517051,0.840733235,1.008600172,0.531478917,-0.642065153,-0.4867824,0.23299611,-0.943095149,-1.341511619,-0.301029996,-0.943095149,-0.642065153,-1.341511619,-1.341511619,-1.341511619,-0.642065153,-0.642065153,-0.341511619,-0.642065153,-0.632644079,-0.943095149,0.367355921,-0.031517051,-1.341511619,-1.341511619,-1.341511619,0.133538908,-0.332080315,-0.642065153,0.113943352,-1.341511619,-1.341511619,-1.341511619
LMB033-STO-08192021,8/19/2021 0:00,Largemouth Bass,M,Stomach,27,291.95,0.4055,0.162,0.162,0.162,0.162,0.162,0.162,0.233,13.7,4.96,4730,0.162,11.1,19.1,22.5,20.8,17,0.093,50.4,82.1,30.4,0.81,1.62,9.55,0.4055,0.162,11.6,0.4055,0.81,0.162,0.162,0.162,0.81,0.81,1.62,0.81,0.233,0.4055,0.93,0.93,0.162,0.162,0.162,,21.8,0.81,9.33,0.093,0.162,0.162,5069.166,-0.392009141,-0.790484985,-0.790484985,-0.790484985,-0.790484985,-0.790484985,-0.790484985,-0.632644079,1.136720567,0.695481676,3.674861141,-0.790484985,1.045322979,1.281033367,1.352182518,1.318063335,1.230448921,-1.031517051,1.702430536,1.914343157,1.482873584,-0.091514981,0.209515015,0.980003372,-0.392009141,-0.790484985,1.064457989,-0.392009141,-0.091514981,-0.790484985,-0.790484985,-0.790484985,-0.091514981,-0.091514981,0.209515015,-0.091514981,-0.632644079,-0.392009141,-0.031517051,-0.031517051,-0.790484985,-0.790484985,-0.790484985,#NUM!,1.338456494,-0.091514981,0.969881644,-1.031517051,-0.790484985,-0.790484985
LMB034-GON-08192021,8/19/2021 0:00,Largemouth Bass,F,Gonad,44,1438.5,0.1045,0.0417,0.0417,0.0417,0.0417,0.093,0.093,0.1045,4.5,2.77,5860,0.093,16.2,23,26.8,26.2,21.8,1.11,36.7,44.8,22.7,0.2085,1.43,6.61,0.1045,0.0417,4.15,0.1045,0.2085,0.0417,0.0417,0.0417,0.2085,0.4655,0.417,0.2085,0.233,0.1045,1.67,0.93,0.0417,0.0417,0.0417,14.6,7.56,0.2085,11.9,0.093,0.0417,0.0417,6139.0246,-0.98088371,-1.379863945,-1.379863945,-1.379863945,-1.379863945,-1.031517051,-1.031517051,-0.98088371,0.653212514,0.442479769,3.767897616,-1.031517051,1.209515015,1.361727836,1.428134794,1.418301291,1.338456494,0.045322979,1.564666064,1.651278014,1.356025857,-0.680893941,0.155336037,0.820201459,-0.98088371,-1.379863945,0.618048097,-0.98088371,-0.680893941,-1.379863945,-1.379863945,-1.379863945,-0.680893941,-0.332080315,-0.379863945,-0.680893941,-0.632644079,-0.98088371,0.222716471,-0.031517051,-1.379863945,-1.379863945,-1.379863945,1.164352856,0.878521796,-0.680893941,1.075546961,-1.031517051,-1.379863945,-1.379863945
