"","Sample ID","Analyte","Vista","Eurofins","diff","percent_diff"
"102","JBA079-SW-DOWN-042221","PFNA",11.6,18,-6.4,-43.2432432432432
"103","JBA079-SW-DOWN-042221","PFOSA",12.6,5.5,7.1,78.4530386740331
"104","JBA079-SW-DOWN-042221","PFOS",782,730,52,6.87830687830688
"105","JBA080-SW-EXIT-042221","PFBA",47.1,44,3.1,6.80570801317234
"106","JBA080-SW-EXIT-042221","PFPrS",29.3,NA,NA,NA
"107","JBA080-SW-EXIT-042221","PFPeA",132,120,12,9.52380952380952
"108","JBA080-SW-EXIT-042221","PFBS",69.4,84,-14.6,-19.0352020860495
"109","JBA080-SW-EXIT-042221","4:2 FTS",4.14,4.7,-0.56,-12.6696832579186
"110","JBA080-SW-EXIT-042221","PFHxA",270,250,20,7.69230769230769
"111","JBA080-SW-EXIT-042221","PFPeS",66.4,86,-19.6,-25.7217847769029
"112","JBA080-SW-EXIT-042221","PFHpA",59,64,-5,-8.13008130081301
"113","JBA080-SW-EXIT-042221","PFHxS",799,650,149,20.5659075224293
"114","JBA080-SW-EXIT-042221","6:2 FTS",167,160,7,4.28134556574923
"115","JBA080-SW-EXIT-042221","PFOA",287,350,-63,-19.7802197802198
"116","JBA080-SW-EXIT-042221","PFHpS",19.9,22,-2.1,-10.0238663484487
"117","JBA080-SW-EXIT-042221","PFNA",12,15,-3,-22.2222222222222
"118","JBA080-SW-EXIT-042221","PFOSA",16.5,5.2,11.3,104.147465437788
"119","JBA080-SW-EXIT-042221","PFOS",881,740,141,17.3966687230105
"120","JBA-092-SW-SPILL-042821","PFBA",44,45,-1,-2.24719101123596
"121","JBA-092-SW-SPILL-042821","PFPrS",28.7,NA,NA,NA
"122","JBA-092-SW-SPILL-042821","PFPeA",135,130,5,3.77358490566038
"123","JBA-092-SW-SPILL-042821","PFBS",73.5,77,-3.5,-4.65116279069767
"124","JBA-092-SW-SPILL-042821","PFHxA",243,260,-17,-6.75944333996024
"125","JBA-092-SW-SPILL-042821","PFPeS",65.6,73,-7.40000000000001,-10.6782106782107
"126","JBA-092-SW-SPILL-042821","PFHpA",58,71,-13,-20.1550387596899
"127","JBA-092-SW-SPILL-042821","PFHxS",785,620,165,23.4875444839858
"128","JBA-092-SW-SPILL-042821","6:2 FTS",165,190,-25,-14.0845070422535
"129","JBA-092-SW-SPILL-042821","PFOA",291,300,-9,-3.04568527918782
"130","JBA-092-SW-SPILL-042821","PFHpS",21.1,23,-1.9,-8.61678004535147
