SampleID,Location,SampleDate,WaterTemp,pH,Cond,DO,Precipitation,PFBA,PFPeA,PFBS,PFHxA,PFPeS,PFHpA,PFHxS,PFOA,6:2 FTS,PFHpS,PFNA,PFOS,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFNS,PFDS,PFDoS,8:2 FTS,FOSA,N-MeFOSA,N-EtFOSA,N-MeFOSAA,N-EtFOSAA,N-MeFOSE,N-EtFOSE,HFPO-DA,ADONA,PFMPA,PFMBA,NFDHA,9Cl-PF3ONS,11Cl-PF3OUdS,PFEESA,3:3 FTCA,5:3 FTCA,7:3 FTCA,4:2 FTS,SumPFAS,log_PFBA,log_PFPeA,log_PFBS,log_PFHxA,log_PFPeS,log_PFHpA,log_PFHxS,log_PFOA,log_6:2 FTS,log_PFHpS,log_PFNA,log_PFOS,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFNS,log_PFDS,log_PFDoS,log_8:2 FTS,log_FOSA,log_N-MeFOSA,log_N-EtFOSA,log_N-MeFOSAA,log_N-EtFOSAA,log_N-MeFOSE,log_N-EtFOSE,log_HFPO-DA,log_ADONA,log_PFMPA,log_PFMBA,log_NFDHA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_PFEESA,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_4:2 FTS
WG023-SW-WEST-102320,North,10/23/2020 0:00,17.8,,,4.56,0,11.9,20.66,9.019,24.81,6.9,12.04,81.15,33.16,24.96,3.817,3.637,336.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.153,1.075546961,1.315130317,0.955158387,1.394626764,0.838849091,1.080626487,1.909288524,1.520614522,1.397244581,0.58172216,0.560743301,2.526468512,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG024-SW-SPILL-102320,Spill,10/23/2020 0:00,17.3,,,5.42,0,13.01,18.02,9.164,29.83,9.949,11.52,80.65,29.01,33.62,3.861,3.544,337.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.778,1.114277297,1.255754787,0.962085081,1.474653253,0.997779431,1.061452479,1.906604372,1.462547729,1.526597709,0.586699802,0.549493713,2.528402438,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG025-SW-EAST-102320,South,10/23/2020 0:00,17.4,,,5.45,0,11.06,20.57,8.94,22.79,8.081,8.672,69.58,31.89,30.5,4.483,3.781,279.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.547,1.043755127,1.313234292,0.951337519,1.357744325,0.907465107,0.938119269,1.842484424,1.503654519,1.484299839,0.651568739,0.577606677,2.445915414,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG026-SW-HEAD-102320,Head,10/23/2020 0:00,17.8,,,5.44,0,11.57,21.07,12.65,29.35,10.12,11.31,88.05,39.95,23.28,8.831,3.444,467.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.125,1.063333359,1.323664536,1.102090526,1.467608106,1.005180513,1.053462605,1.94472936,1.601516784,1.366982976,0.946009885,0.537063143,2.669781615,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG028-SW-WEST-102720,North,10/27/2020 0:00,14.5,,,4.36,0.039370079,11.87,18.13,7.864,23.68,7.688,10.38,58.68,38.08,31.06,6.26,3.694,325.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.286,1.074450719,1.258397804,0.895643505,1.374381698,0.885813375,1.016197354,1.768490105,1.58069694,1.492201451,0.796574333,0.567496891,2.51308436,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG029-SW-SPILL-102720,Spill,10/27/2020 0:00,14.2,,,1.91,0.039370079,10.76,21.76,8.463,24.31,8.235,9.914,71.52,26.15,20.17,4.704,3.409,375.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.295,1.031812271,1.337658891,0.927524341,1.385784959,0.915663604,0.996248915,1.854427506,1.417471693,1.304705898,0.672467313,0.532627001,2.575072326,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG030-SW-EAST-102720,South,10/27/2020 0:00,14,,,3.89,0.039370079,9.889,19.93,6.795,20.66,6.902,10.6,64.05,27.81,16.71,3.788,4.015,314.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.549,0.995152377,1.299507299,0.832189461,1.315130317,0.838974955,1.025305865,1.806519134,1.444200989,1.22297645,0.57840997,0.60368555,2.497482537,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG031-SW-HEAD-102720,Head,10/27/2020 0:00,14.3,,,3.53,0.039370079,15.55,18.67,12.61,29.61,9.755,12.55,82.23,48.14,38.48,5.599,4.441,443.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.935,1.191730393,1.271144318,1.100715087,1.471438407,0.989227274,1.098643726,1.91503029,1.682506086,1.585235063,0.748110467,0.647480773,2.646697731,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG033-SW-WEST-102920,North,10/29/2020 0:00,13.7,,,6.4,0.299212598,10.51,20.07,7.143,22.23,6.412,9.751,67.63,30.21,27.72,3.245,3.959,357.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.08,1.021602716,1.302547372,0.85388065,1.346939463,0.806993514,0.989049156,1.830139387,1.480150725,1.442793226,0.511214701,0.597585502,2.55291145,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG034-SW-SPILL-102920,Spill,10/29/2020 0:00,14,,,5.44,0.299212598,10.11,18.44,7.882,20.11,5.631,10.03,62.63,23.85,23.27,5.265,3.21,442.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.828,1.004751156,1.265760917,0.896636431,1.303412071,0.750585527,1.001300933,1.796782412,1.377488383,1.366796383,0.721398376,0.506505032,2.645815118,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
