SampleID,SampleDate,Julian,Location,Seasonality,Precipitation,Temp,log_Temp,DO,log_DO,Cond,log_Cond,pH,log_pH,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,4:2 FTS,6:2 FTS,8:2 FTS,N-MeFOSAA,N-EtFOSAA,FOSA,N-MeFOSA,N-EtFOSA,N-MeFOSE,N-EtFOSE,HFPO-DA,ADONA,9Cl-PF3ONS,11Cl-PF3OUdS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFEESA,PFMBA,PFMPA,NFDHA,PFHxDA,PFODA,10:2 FTS,MeFOSAA,EtFOSAA,PFOSA,MeFOSA,EtFOSA,MeFOSE,EtFOSE,PFPrS,PFecHS,SumPFAS,log_PFBA,log_PFPeA,log_PFHxA,log_PFHpA,log_PFOA,log_PFNA,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFBS,log_PFPeS,log_PFHxS,log_PFHpS,log_PFOS,log_PFNS,log_PFDS,log_PFDoS,log_4:2 FTS,log_6:2 FTS,log_8:2 FTS,log_N-MeFOSAA,log_N-EtFOSAA,log_FOSA,log_N-MeFOSA,log_N-EtFOSA,log_N-MeFOSE,log_N-EtFOSE,log_HFPO-DA,log_ADONA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_PFEESA,log_PFMBA,log_PFMPA,log_NFDHA,log_PFHxDA,log_PFODA,log_10:2 FTS,log_MeFOSAA,log_EtFOSAA,log_PFOSA,log_MeFOSA,log_EtFOSA,log_MeFOSE,log_EtFOSE,log_PFPrS,log_PFecHS
JBA073-SW-RIPP-041521,4/15/2021 0:00,21105,Ripp,Spring,0.34,13.6,1.133538908,8.66,0.937517892,0.2263,-0.645315446,7.76,0.889861721,26,68,140,36,160,13,3.1,0.72,0.59,0.5,0.5,41,40,360,12,450,0.5,0.6,0.5,2.6,87,5.7,0.6,0.9,5.5,0.95,0.9,4.95,9,0.5,0.8,1.4,1.3,2.85,6,5,1.5,1.25,1.25,0.8,,,,,,,,,,,,,1493.76,1.414973348,1.832508913,2.146128036,1.556302501,2.204119983,1.113943352,0.491361694,-0.142667504,-0.229147988,-0.301029996,-0.301029996,1.612783857,1.602059991,2.556302501,1.079181246,2.653212514,-0.301029996,-0.22184875,-0.301029996,0.414973348,1.939519253,0.755874856,-0.22184875,-0.045757491,0.740362689,-0.022276395,-0.045757491,0.694605199,0.954242509,-0.301029996,-0.096910013,0.146128036,0.113943352,0.45484486,0.77815125,0.698970004,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA074-SW-DOWN-041521,4/15/2021 0:00,21105,Down,Spring,0.34,13.6,1.133538908,8.75,0.942008053,0.2273,-0.643400564,7.76,0.889861721,28,79,170,38,180,14,3.9,0.82,0.57,0.5,0.5,40,38,340,13,510,0.5,0.6,0.5,2.8,100,5.7,0.6,0.9,6.1,0.95,0.9,4.9,9,0.5,0.8,1.4,1.3,2.8,6,5,1.5,1.25,1.25,0.8,,,,,,,,,,,,,1612.34,1.447158031,1.897627091,2.230448921,1.579783597,2.255272505,1.146128036,0.591064607,-0.086186148,-0.244125144,-0.301029996,-0.301029996,1.602059991,1.579783597,2.531478917,1.113943352,2.707570176,-0.301029996,-0.22184875,-0.301029996,0.447158031,2,0.755874856,-0.22184875,-0.045757491,0.785329835,-0.022276395,-0.045757491,0.69019608,0.954242509,-0.301029996,-0.096910013,0.146128036,0.113943352,0.447158031,0.77815125,0.698970004,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA075-SW-EXIT-041521,4/15/2021 0:00,21105,Exit,Spring,0.34,13.6,1.133538908,8.45,0.926856709,0.2283,-0.641494089,7.39,0.868644438,26,77,170,36,160,14,3.2,0.77,0.54,0.5,0.5,43,44,390,12,470,0.5,0.6,0.5,2.3,100,5.7,0.6,0.95,5,1,0.95,5,9.5,0.5,0.85,1.45,1.35,2.9,6,5,1.55,1.3,1.3,0.85,,,,,,,,,,,,,1603.16,1.414973348,1.886490725,2.230448921,1.556302501,2.204119983,1.146128036,0.505149978,-0.113509275,-0.26760624,-0.301029996,-0.301029996,1.633468456,1.643452676,2.591064607,1.079181246,2.672097858,-0.301029996,-0.22184875,-0.301029996,0.361727836,2,0.755874856,-0.22184875,-0.022276395,0.698970004,0,-0.022276395,0.698970004,0.977723605,-0.301029996,-0.070581074,0.161368002,0.130333768,0.462397998,0.77815125,0.698970004,0.190331698,0.113943352,0.113943352,-0.070581074,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA077-SW-SPILL-042221,4/22/2021 0:00,21112,Spill,Spring,0.06,10.2,1.008600172,9.5,0.977723605,0.2525,-0.597738618,7.31,0.863917377,47.3,137,286,59.6,329,10.6,2.17,2.17,2.17,2.17,2.17,71.7,69.9,815,18.3,734,2.17,2.17,2.17,2.17,169,7,,,,,,,,2.17,2.17,2.17,2.17,2.71,2.71,2.71,2.17,2.17,2.17,2.71,2.17,2.17,2.17,2.17,2.17,11,2.71,2.71,2.71,2.17,27.4,2.17,2861.68,1.674861141,2.136720567,2.456366033,1.77524626,2.517195898,1.025305865,0.336459734,0.336459734,0.336459734,0.336459734,0.336459734,1.855519156,1.844477176,2.911157609,1.26245109,2.86569606,0.336459734,0.336459734,0.336459734,0.336459734,2.227886705,0.84509804,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.336459734,0.336459734,0.336459734,0.336459734,0.432969291,0.432969291,0.432969291,0.336459734,0.336459734,0.336459734,0.432969291,0.336459734,0.336459734,0.336459734,0.336459734,0.336459734,1.041392685,0.432969291,0.432969291,0.432969291,0.336459734,1.437750563,0.336459734
JBA078-SW-RIPP-042221,4/22/2021 0:00,21112,Ripp,Spring,0.06,9.8,0.991226076,9.2,0.963787827,0.2528,-0.59722293,7.53,0.876794976,42.9,125,222,55.2,299,11.4,2.19,2.19,2.19,2.19,2.19,75.2,78.5,704,17.5,721,2.19,2.19,2.19,2.19,147,5.15,,,,,,,,2.19,2.19,2.19,2.19,2.735,2.735,2.735,2.19,2.19,2.19,2.735,2.19,2.19,2.19,2.19,2.19,7.92,2.735,2.735,2.735,2.19,31,2.19,2612.285,1.632457292,2.096910013,2.346352974,1.741939078,2.475671188,1.056904851,0.340444115,0.340444115,0.340444115,0.340444115,0.340444115,1.876217841,1.894869657,2.847572659,1.243038049,2.857935265,0.340444115,0.340444115,0.340444115,0.340444115,2.167317335,0.711807229,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.340444115,0.340444115,0.340444115,0.340444115,0.436957331,0.436957331,0.436957331,0.340444115,0.340444115,0.340444115,0.436957331,0.340444115,0.340444115,0.340444115,0.340444115,0.340444115,0.898725182,0.436957331,0.436957331,0.436957331,0.340444115,1.491361694,0.340444115
JBA079-SW-DOWN-042221,4/22/2021 0:00,21112,Down,Spring,0.06,9.7,0.986771734,9.34,0.970346876,0.2505,-0.60119227,7.43,0.870988814,45.5,127,247,59.2,343,11.6,2.125,2.125,2.125,2.125,2.125,65.6,67.7,777,23.3,782,2.125,2.125,2.125,2.125,156,2.125,,,,,,,,2.125,2.125,2.125,2.125,2.66,2.66,2.66,2.125,2.125,2.125,2.66,2.125,2.125,2.125,2.125,2.125,12.6,2.66,2.66,2.66,2.125,26.7,2.125,2813.82,1.658011397,2.103803721,2.392696953,1.772321707,2.53529412,1.064457989,0.327358934,0.327358934,0.327358934,0.327358934,0.327358934,1.816903839,1.830588669,2.890421019,1.367355921,2.893206753,0.327358934,0.327358934,0.327358934,0.327358934,2.193124598,0.327358934,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.327358934,0.327358934,0.327358934,0.327358934,0.424881637,0.424881637,0.424881637,0.327358934,0.327358934,0.327358934,0.424881637,0.327358934,0.327358934,0.327358934,0.327358934,0.327358934,1.100370545,0.424881637,0.424881637,0.424881637,0.327358934,1.426511261,0.327358934
JBA080-SW-EXIT-042221,4/22/2021 0:00,21112,Exit,Spring,0.06,9.7,0.986771734,9.12,0.959994838,0.2535,-0.596022036,7.51,0.875639937,47.1,132,270,59,287,12,2.04,2.04,2.04,2.04,2.04,69.4,66.4,799,19.9,881,2.04,2.04,2.04,4.14,167,2.04,,,,,,,,2.04,2.04,2.04,2.04,2.55,2.55,2.55,2.04,2.04,2.04,2.55,2.04,2.04,2.04,2.04,2.04,16.5,2.55,2.55,2.55,2.04,29.3,2.04,2924.51,1.673020907,2.120573931,2.431363764,1.770852012,2.457881897,1.079181246,0.309630167,0.309630167,0.309630167,0.309630167,0.309630167,1.84135947,1.822168079,2.902546779,1.298853076,2.944975908,0.309630167,0.309630167,0.309630167,0.617000341,2.222716471,0.309630167,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.309630167,0.309630167,0.309630167,0.309630167,0.40654018,0.40654018,0.40654018,0.309630167,0.309630167,0.309630167,0.40654018,0.309630167,0.309630167,0.309630167,0.309630167,0.309630167,1.217483944,0.40654018,0.40654018,0.40654018,0.309630167,1.46686762,0.309630167
JBA082-SW-SPILL-0423-21,4/23/2021 0:00,21113,Spill,Spring,0,11.2,1.049218023,9.5,0.977723605,0.2498,-0.602407566,7.47,0.873320602,40,130,270,75,330,20,1.4,0.5,0.5,0.5,0.5,73,82,530,22,740,0.5,0.6,0.5,3.7,180,6.8,0.6,0.95,5.6,1,0.95,5,9.5,0.5,0.85,1.45,1.35,2.9,6,5,1.55,1.3,1.3,0.85,,,,,,,,,,,,,2554.15,1.602059991,2.113943352,2.431363764,1.875061263,2.51851394,1.301029996,0.146128036,-0.301029996,-0.301029996,-0.301029996,-0.301029996,1.86332286,1.913813852,2.72427587,1.342422681,2.86923172,-0.301029996,-0.22184875,-0.301029996,0.568201724,2.255272505,0.832508913,-0.22184875,-0.022276395,0.748188027,0,-0.022276395,0.698970004,0.977723605,-0.301029996,-0.070581074,0.161368002,0.130333768,0.462397998,0.77815125,0.698970004,0.190331698,0.113943352,0.113943352,-0.070581074,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA083-SW-RIPP-0423-21,4/23/2021 0:00,21113,Ripp,Spring,0,11.3,1.053078443,9.06,0.957128198,0.2474,-0.606600305,7.47,0.873320602,41,120,230,65,320,19,1.4,0.495,0.495,0.495,0.495,78,71,600,22,670,0.495,0.6,0.495,4.7,190,6.1,0.6,0.9,7.4,0.95,0.9,4.85,9,0.495,0.8,1.4,1.3,2.8,6,4.95,1.5,1.25,1.25,0.8,,,,,,,,,,,,,2488.915,1.612783857,2.079181246,2.361727836,1.812913357,2.505149978,1.278753601,0.146128036,-0.305394801,-0.305394801,-0.305394801,-0.305394801,1.892094603,1.851258349,2.77815125,1.342422681,2.826074803,-0.305394801,-0.22184875,-0.305394801,0.672097858,2.278753601,0.785329835,-0.22184875,-0.045757491,0.86923172,-0.022276395,-0.045757491,0.685741739,0.954242509,-0.305394801,-0.096910013,0.146128036,0.113943352,0.447158031,0.77815125,0.694605199,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA084-SW-DOWN-0423-21,4/23/2021 0:00,21113,Down,Spring,0,11.1,1.045322979,9.37,0.971739591,0.2469,-0.60747891,7.56,0.878521796,23,66,140,48,300,16,1.1,0.5,0.5,0.5,0.5,39,52,540,19,650,0.5,0.6,0.5,2.8,150,6.6,0.6,0.9,5.5,0.95,0.9,4.95,9,0.5,0.8,1.4,1.3,2.85,6,5,1.5,1.25,1.25,0.8,,,,,,,,,,,,,2102.55,1.361727836,1.819543936,2.146128036,1.681241237,2.477121255,1.204119983,0.041392685,-0.301029996,-0.301029996,-0.301029996,-0.301029996,1.591064607,1.716003344,2.73239376,1.278753601,2.812913357,-0.301029996,-0.22184875,-0.301029996,0.447158031,2.176091259,0.819543936,-0.22184875,-0.045757491,0.740362689,-0.022276395,-0.045757491,0.694605199,0.954242509,-0.301029996,-0.096910013,0.146128036,0.113943352,0.45484486,0.77815125,0.698970004,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA085-SW-EXIT-0423-21,4/23/2021 0:00,21113,Exit,Spring,0,10.9,1.037426498,9.03,0.95568775,0.2492,-0.603451962,7.43,0.870988814,42,110,240,72,320,16,1.5,0.5,0.5,0.5,0.5,64,77,550,19,660,0.5,0.6,0.5,4.5,150,6.9,0.6,0.9,6.2,0.95,0.9,5,9,0.5,0.8,1.45,1.35,2.85,6,5,1.55,1.25,1.25,0.8,,,,,,,,,,,,,2382.85,1.62324929,2.041392685,2.380211242,1.857332496,2.505149978,1.204119983,0.176091259,-0.301029996,-0.301029996,-0.301029996,-0.301029996,1.806179974,1.886490725,2.740362689,1.278753601,2.819543936,-0.301029996,-0.22184875,-0.301029996,0.653212514,2.176091259,0.838849091,-0.22184875,-0.045757491,0.792391689,-0.022276395,-0.045757491,0.698970004,0.954242509,-0.301029996,-0.096910013,0.161368002,0.130333768,0.45484486,0.77815125,0.698970004,0.190331698,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA087-SW-SPILL-042621,4/26/2021 0:00,21116,Spill,Spring,,11.8,1.071882007,9.23,0.965201701,0.2098,-0.678194516,7.54,0.877371346,31,87.7,174,40.3,183,8.64,,2.175,,,,40.8,40.1,492,12.7,530,,,,,105,,2,2,13.5,2.5,,,,2.175,,2.175,2.175,2.72,,,2.175,2.175,2.175,2.72,,,,2.175,2.175,,2.72,2.72,2.72,2.175,18.1,,1818.69,1.491361694,1.942999593,2.240549248,1.605305046,2.26245109,0.936513742,#NUM!,0.337459261,#NUM!,#NUM!,#NUM!,1.610660163,1.603144373,2.691965103,1.103803721,2.72427587,#NUM!,#NUM!,#NUM!,#NUM!,2.021189299,#NUM!,0.301029996,0.301029996,1.130333768,0.397940009,#NUM!,#NUM!,#NUM!,0.337459261,#NUM!,0.337459261,0.337459261,0.434568904,#NUM!,#NUM!,0.337459261,0.337459261,0.337459261,0.434568904,#NUM!,#NUM!,#NUM!,0.337459261,0.337459261,#NUM!,0.434568904,0.434568904,0.434568904,0.337459261,1.257678575,#NUM!
JBA088-SW-RIPP-042621,4/26/2021 0:00,21116,Ripp,Spring,,11.9,1.075546961,9.47,0.976349979,0.2204,-0.65678841,7.57,0.87909588,34,92.4,162,41.1,195,9.85,,2.075,,,,42.1,48.2,532,13.2,629,,,,,126,,2,2,10.9,2.5,,,,2.075,,2.075,2.075,2.59,,,2.075,2.075,2.075,2.59,,,,2.075,2.075,,2.59,2.59,2.59,2.075,17.1,,1993.05,1.531478917,1.965671971,2.209515015,1.613841822,2.290034611,0.99343623,#NUM!,0.317018101,#NUM!,#NUM!,#NUM!,1.624282096,1.683047038,2.725911632,1.120573931,2.798650645,#NUM!,#NUM!,#NUM!,#NUM!,2.100370545,#NUM!,0.301029996,0.301029996,1.037426498,0.397940009,#NUM!,#NUM!,#NUM!,0.317018101,#NUM!,0.317018101,0.317018101,0.413299764,#NUM!,#NUM!,0.317018101,0.317018101,0.317018101,0.413299764,#NUM!,#NUM!,#NUM!,0.317018101,0.317018101,#NUM!,0.413299764,0.413299764,0.413299764,0.317018101,1.23299611,#NUM!
JBA089-SW-DOWN-042621,4/26/2021 0:00,21116,Down,Spring,,11.8,1.071882007,9.1,0.959041392,0.2256,-0.646660905,7.54,0.877371346,34.7,97.9,175,42.5,199,9.88,,2.125,,,,42.7,47,605,11.6,649,,,,,126,,2,2,14.4,2.5,,,,2.125,,2.125,2.125,2.655,,,2.125,2.125,2.125,2.655,,,,2.125,2.125,,2.655,2.655,2.655,2.125,19.5,,2115.205,1.540329475,1.990782692,2.243038049,1.62838893,2.298853076,0.994756945,#NUM!,0.327358934,#NUM!,#NUM!,#NUM!,1.630427875,1.672097858,2.781755375,1.064457989,2.812244697,#NUM!,#NUM!,#NUM!,#NUM!,2.100370545,#NUM!,0.301029996,0.301029996,1.158362492,0.397940009,#NUM!,#NUM!,#NUM!,0.327358934,#NUM!,0.327358934,0.327358934,0.424064525,#NUM!,#NUM!,0.327358934,0.327358934,0.327358934,0.424064525,#NUM!,#NUM!,#NUM!,0.327358934,0.327358934,#NUM!,0.424064525,0.424064525,0.424064525,0.327358934,1.290034611,#NUM!
JBA090-SW-EXIT-042621,4/26/2021 0:00,21116,Exit,Spring,,11.8,1.071882007,9.03,0.95568775,0.2333,-0.632085261,7.51,0.875639937,38.6,101,177,47.1,221,9.86,,2.105,,,,50.7,46.6,561,13.4,639,,,,,125,,2,2,9.95,2.5,,,,2.105,,2.105,2.105,2.635,,,2.105,2.105,2.105,2.635,,,,2.105,2.105,,2.635,2.635,2.635,2.105,22.1,,2103.035,1.586587305,2.004321374,2.247973266,1.673020907,2.344392274,0.993876915,#NUM!,0.3232521,#NUM!,#NUM!,#NUM!,1.705007959,1.668385917,2.748962861,1.127104798,2.805500858,#NUM!,#NUM!,#NUM!,#NUM!,2.096910013,#NUM!,0.301029996,0.301029996,0.997823081,0.397940009,#NUM!,#NUM!,#NUM!,0.3232521,#NUM!,0.3232521,0.3232521,0.42078062,#NUM!,#NUM!,0.3232521,0.3232521,0.3232521,0.42078062,#NUM!,#NUM!,#NUM!,0.3232521,0.3232521,#NUM!,0.42078062,0.42078062,0.42078062,0.3232521,1.344392274,#NUM!
JBA092-SW-SPILL-042821,4/28/2021 0:00,21118,Spill,Spring,0,13.8,1.139879086,8.4,0.924279286,0.2542,-0.594824454,7.4,0.86923172,44,135,243,58,291,12.4,2.27,2.27,2.27,2.27,2.27,73.5,65.6,785,21.1,766,2.27,2.27,2.27,2.27,165,6.61,,,,,,,,2.27,2.27,2.27,2.27,2.84,2.84,2.84,2.27,2.27,2.27,2.84,2.27,2.27,2.27,2.27,2.27,14.3,2.84,2.84,2.84,2.27,28.7,2.27,2781.3,1.643452676,2.130333768,2.385606274,1.763427994,2.463892989,1.093421685,0.356025857,0.356025857,0.356025857,0.356025857,0.356025857,1.866287339,1.816903839,2.894869657,1.324282455,2.88422877,0.356025857,0.356025857,0.356025857,0.356025857,2.217483944,0.820201459,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.356025857,0.356025857,0.356025857,0.356025857,0.45331834,0.45331834,0.45331834,0.356025857,0.356025857,0.356025857,0.45331834,0.356025857,0.356025857,0.356025857,0.356025857,0.356025857,1.155336037,0.45331834,0.45331834,0.45331834,0.356025857,1.457881897,0.356025857
JBA093-SW-RIPP-042821,4/28/2021 0:00,21118,Ripp,Spring,0,14.3,1.155336037,7.78,0.890979597,0.251,-0.600326279,7.36,0.866877814,40.6,120,218,49.9,270,10.9,2.025,2.025,2.025,2.025,2.025,60.3,57.7,726,17.5,719,2.025,2.025,2.025,2.025,147,5.5,,,,,,,,2.025,2.025,2.025,2.025,2.53,2.53,2.53,2.025,2.025,2.025,2.53,2.025,2.025,2.025,2.025,2.025,8.99,2.53,2.53,2.53,2.025,26.4,2.025,2542.075,1.608526034,2.079181246,2.338456494,1.698100546,2.431363764,1.037426498,0.306425028,0.306425028,0.306425028,0.306425028,0.306425028,1.780317312,1.761175813,2.860936621,1.243038049,2.85672889,0.306425028,0.306425028,0.306425028,0.306425028,2.167317335,0.740362689,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.306425028,0.306425028,0.306425028,0.306425028,0.403120521,0.403120521,0.403120521,0.306425028,0.306425028,0.306425028,0.403120521,0.306425028,0.306425028,0.306425028,0.306425028,0.306425028,0.953759692,0.403120521,0.403120521,0.403120521,0.306425028,1.421603927,0.306425028
JBA094-SW-DOWN-042821,4/28/2021 0:00,21118,Down,Spring,0,14.3,1.155336037,8.15,0.911157609,0.2534,-0.596193389,7.49,0.874481818,41.7,122,238,55,272,11,2.105,2.105,2.105,2.105,2.105,61.3,64,751,20.1,731,2.105,2.105,2.105,2.105,147,7.94,,,,,,,,2.105,2.105,2.105,2.105,2.63,2.63,2.63,2.105,2.105,2.105,2.63,2.105,2.105,2.105,2.105,2.105,11.6,2.63,2.63,2.63,2.105,26.3,2.105,2626.765,1.620136055,2.086359831,2.376576957,1.740362689,2.434568904,1.041392685,0.3232521,0.3232521,0.3232521,0.3232521,0.3232521,1.787460475,1.806179974,2.875639937,1.303196057,2.863917377,0.3232521,0.3232521,0.3232521,0.3232521,2.167317335,0.899820502,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.3232521,0.3232521,0.3232521,0.3232521,0.419955748,0.419955748,0.419955748,0.3232521,0.3232521,0.3232521,0.419955748,0.3232521,0.3232521,0.3232521,0.3232521,0.3232521,1.064457989,0.419955748,0.419955748,0.419955748,0.3232521,1.419955748,0.3232521
JBA095-SW-EXIT-042821,4/28/2021 0:00,21118,Exit,Spring,0,14.2,1.152288344,7.72,0.8876173,0.2533,-0.59636481,7.36,0.866877814,40.4,116,221,53.8,284,10.7,2.115,2.115,2.115,2.115,2.115,65.6,57.1,736,19.4,707,2.115,2.115,2.115,2.115,151,5.95,,,,,,,,2.115,2.115,2.115,2.115,2.64,2.64,2.64,2.115,2.115,2.115,2.64,2.115,2.115,2.115,2.115,2.115,14.9,2.64,2.64,2.64,2.115,24.1,2.115,2574.075,1.606381365,2.064457989,2.344392274,1.730782276,2.45331834,1.029383778,0.325310372,0.325310372,0.325310372,0.325310372,0.325310372,1.816903839,1.756636108,2.866877814,1.28780173,2.849419414,0.325310372,0.325310372,0.325310372,0.325310372,2.178976947,0.774516966,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.325310372,0.325310372,0.325310372,0.325310372,0.421603927,0.421603927,0.421603927,0.325310372,0.325310372,0.325310372,0.421603927,0.325310372,0.325310372,0.325310372,0.325310372,0.325310372,1.173186268,0.421603927,0.421603927,0.421603927,0.325310372,1.382017043,0.325310372
JBA097-SW-SPILL-06142021,6/14/2021 0:00,21165,Spill,Summer,0,20,1.301029996,6.71,0.82672252,0.2754,-0.560036064,7.59,0.880241776,47.7,139,260,59.6,272,11.2,,2.035,,,,82.2,70.2,836,22.2,829,,,,,159,7.27,2,2,12.4,2.5,,,,2.035,,2.035,2.035,2.545,,,2.035,2.035,2.035,2.545,,,,2.035,2.035,,2.545,2.545,2.545,2.035,31.8,,2879.145,1.678518379,2.1430148,2.414973348,1.77524626,2.434568904,1.049218023,#NUM!,0.308564414,#NUM!,#NUM!,#NUM!,1.914871818,1.846337112,2.922206277,1.346352974,2.918554531,#NUM!,#NUM!,#NUM!,#NUM!,2.201397124,0.861534411,0.301029996,0.301029996,1.093421685,0.397940009,#NUM!,#NUM!,#NUM!,0.308564414,#NUM!,0.308564414,0.308564414,0.405687787,#NUM!,#NUM!,0.308564414,0.308564414,0.308564414,0.405687787,#NUM!,#NUM!,#NUM!,0.308564414,0.308564414,#NUM!,0.405687787,0.405687787,0.405687787,0.308564414,1.50242712,#NUM!
JBA098-SW-RIPP-06142021,6/14/2021 0:00,21165,Ripp,Summer,0,19.9,1.298853076,6.44,0.808885867,0.2763,-0.558619115,7.5,0.875061263,49,159,251,59.3,281,11.8,,2.155,,,,68.3,82.2,811,20.2,946,,,,,142,8.19,2,2,5.61,2.5,,,,2.155,,2.155,2.155,2.695,,,2.155,2.155,2.155,2.695,,,,2.155,2.155,,2.695,2.695,2.695,2.155,28.7,,2964.825,1.69019608,2.201397124,2.399673721,1.773054693,2.44870632,1.071882007,#NUM!,0.333447274,#NUM!,#NUM!,#NUM!,1.834420704,1.914871818,2.909020854,1.305351369,2.975891136,#NUM!,#NUM!,#NUM!,#NUM!,2.152288344,0.913283902,0.301029996,0.301029996,0.748962861,0.397940009,#NUM!,#NUM!,#NUM!,0.333447274,#NUM!,0.333447274,0.333447274,0.43055877,#NUM!,#NUM!,0.333447274,0.333447274,0.333447274,0.43055877,#NUM!,#NUM!,#NUM!,0.333447274,0.333447274,#NUM!,0.43055877,0.43055877,0.43055877,0.333447274,1.457881897,#NUM!
JBA099-SW-DOWN-06142021,6/14/2021 0:00,21165,Down,Summer,0,20.1,1.303196057,6.45,0.809559715,0.2766,-0.558147824,7.58,0.879669206,49.7,147,272,62.9,319,13.4,,2.02,,,,82,75.1,881,22.6,933,,,,,173,10.2,2,2,14.5,2.5,,,,2.02,,2.02,2.02,2.525,,,2.02,2.02,2.02,2.525,,,,2.02,2.02,,2.525,2.525,2.525,2.02,32.7,,3127.425,1.696356389,2.167317335,2.434568904,1.798650645,2.503790683,1.127104798,#NUM!,0.305351369,#NUM!,#NUM!,#NUM!,1.913813852,1.875639937,2.944975908,1.354108439,2.969881644,#NUM!,#NUM!,#NUM!,#NUM!,2.238046103,1.008600172,0.301029996,0.301029996,1.161368002,0.397940009,#NUM!,#NUM!,#NUM!,0.305351369,#NUM!,0.305351369,0.305351369,0.402261382,#NUM!,#NUM!,0.305351369,0.305351369,0.305351369,0.402261382,#NUM!,#NUM!,#NUM!,0.305351369,0.305351369,#NUM!,0.402261382,0.402261382,0.402261382,0.305351369,1.514547753,#NUM!
JBA100-SW-EXIT-06142021,6/14/2021 0:00,21165,Exit,Summer,0,20.1,1.303196057,6.42,0.807535028,0.2753,-0.560193789,7.57,0.87909588,54.8,155,287,69.2,338,16.7,,2.065,,,,85.9,71,896,27.9,1140,,,,,195,9.64,2,2,2,2.5,,,,2.065,,2.065,2.065,2.58,,,2.065,2.065,2.065,2.58,,,,2.065,2.065,2.065,2.58,2.58,2.58,2.065,36.5,,3426.755,1.738780558,2.190331698,2.457881897,1.840106094,2.5289167,1.222716471,#NUM!,0.314920056,#NUM!,#NUM!,#NUM!,1.933993164,1.851258349,2.95230801,1.445604203,3.056904851,#NUM!,#NUM!,#NUM!,#NUM!,2.290034611,0.984077034,0.301029996,0.301029996,0.301029996,0.397940009,#NUM!,#NUM!,#NUM!,0.314920056,#NUM!,0.314920056,0.314920056,0.411619706,#NUM!,#NUM!,0.314920056,0.314920056,0.314920056,0.411619706,#NUM!,#NUM!,#NUM!,0.314920056,0.314920056,0.314920056,0.411619706,0.411619706,0.411619706,0.314920056,1.562292864,#NUM!
