Species,Location,Seasonality,Tissue,Length,log_Length,PFBA,log_PFBA,PFPeA,log_PFPeA,PFHxA,log_PFHxA,PFHpA,log_PFHpA,PFOA,log_PFOA,PFNA,log_PFNA,PFDA,log_PFDA,PFUdA,log_PFUdA,PFDoA,log_PFDoA,PFTrDA,log_PFTrDA,PFTeDA,log_PFTeDA,PFHxDA,log_PFHxDA,PFBS,log_PFBS,PFPeS,log_PFPeS,PFHxS,log_PFHxS,PFHpS,log_PFHpS,PFOS,log_PFOS,PFNS,log_PFNS,PFDS,log_PFDS,PFDoS,log_PFDoS,ClPFOS,log_ClPFOS,FBSA,log_FBSA,FHxSA,log_FHxSA,FOSA,log_FOSA,MeFOSA,log_MeFOSA,MeFOSAA,log_MeFOSAA,EtFOSAA,log_EtFOSAA,FourTwoFTS,log_FourTwoFTS,SixTwoFTS,log_SixTwoFTS,EightTwoFTS,log_EightTwoFTS,TenTwoFTS,log_TenTwoFTS,ThreeThreeFTCA,log_ThreeThreeFTCA,FiveThreeFTCA,log_FiveThreeFTCA,SevenThreeFTCA,SevenThreeFTCA,SixTwoFTCA,log_SixTwoFTCA,EightTwoFTCA,log_EightTwoFTCA,TenTwoFTCA,log_TenTwoFTCA,SixTwoUFTCA,log_SixTwoUFTCA,ADONA,log_ADONA,SixTwoDiPAP,log_SixTwodiPAP,SumPFAS
Pumpkinseed,Down,Spring,Whole Body,8,0.903089987,0.093516209,-1.029113105,0.050055351,-1.300549487,0.126174702,-0.899027711,0.093516209,-1.029113105,1.37,0.136720567,0.822,-0.085128182,5.02,0.700703717,9.27,0.967079734,0.056565962,-1.247444822,2.51,0.399673721,5.49,0.739572344,0.084433812,-1.073483603,0.159120009,-0.798275205,0.123802588,-0.907270276,22.1,1.344392274,1.06,0.025305865,1800,3.255272505,0.944,-0.025028006,0.659,-0.181114585,0.250008634,-0.602044993,0.142070806,-0.847495157,75.3,1.876794976,98.3,1.992553518,24.7,1.392696953,0.054578272,-1.262980216,9.07,0.957607287,0.061493317,-1.211172082,0.058191773,-1.235138412,0.141147911,-0.850325546,2.43,0.385606274,0.265461081,-0.575999141,0.081719625,-1.087673637,0.053464014,-1.271938441,1.58,0.198657087,2.56,0.408239965,0.028338245,-1.547627045,0.105715293,-0.975862181,0.055627731,-1.254708654,0.070845613,-1.149687036,0.075417205,-1.122529565,2065.416264
Dace sp.,Down,Spring,Whole Body,5.25,0.720159303,0.026970656,-1.569108491,0.047639705,-1.322030934,0.036389568,-1.439023097,0.089003165,-1.050594551,0.91,-0.040958608,3.36,0.526339277,8.33,0.920645001,11.1,1.045322979,0.053836117,-1.268926268,3.22,0.507855872,8.85,0.946943271,0.080359079,-1.09496505,0.151440958,-0.819756651,0.346,-0.460923901,41.1,1.613841822,3.11,0.492760389,1540,3.187520721,1.09,0.037426498,2.23,0.348304863,1.37,0.136720567,0.421,-0.375717904,16.6,1.220108088,53.5,1.728353782,13.3,1.123851641,0.051944353,-1.284461663,0.067834593,-1.168548776,0.05852568,-1.232653528,0.055383467,-1.256619858,0.328,-0.484126156,6.98,0.843855423,0.544,-0.2644011,0.077775877,-1.109155083,3.91,0.592176757,5.19,0.715167358,0.043265433,-1.363858942,0.026970656,-1.569108491,0.100613527,-0.997343628,0.052943165,-1.276190101,0.06742664,-1.171168483,0.071777609,-1.144011012,1726.9491
Dace sp.,Down,Spring,Whole Body,7.5,0.875061263,0.027537083,-1.560082062,0.048640216,-1.313004504,0.037153808,-1.429996668,0.027537083,-1.560082062,0.959,-0.018181393,2.82,0.450249108,6.63,0.821513528,17.8,1.250420002,0.181390317,-0.741385899,3.22,0.507855872,7.99,0.902546779,0.082046749,-1.085938621,0.046854989,-1.329244162,0.539,-0.268411235,45,1.653212514,11.9,1.075546961,1550,3.190331698,2.31,0.36361198,7.07,0.849419414,4.06,0.608526034,0.639,-0.194499142,15.5,1.190331698,67.2,1.827369273,10.7,1.029383778,0.053035268,-1.275435233,0.069259229,-1.159522347,0.059754814,-1.223627099,0.05654661,-1.247593429,0.041562867,-1.381294504,5.67,0.753583059,0.88,-0.055517328,0.079409296,-1.100128654,1.79,0.252853031,1.66,0.220108088,2.77,0.442479769,0.59,-0.229147988,0.102726573,-0.988317198,0.054055057,-1.267163672,0.068842708,-1.162142053,0.073285055,-1.134984583,1768.806638
Dace sp.,Down,Spring,Whole Body,8,0.903089987,0.027393258,-1.562356318,0.048386169,-1.315278761,0.036959754,-1.432270924,0.09039775,-1.043842378,0.686,-0.163675884,0.987,-0.005682847,4.85,0.685741739,8.71,0.940018155,0.180442919,-0.743660156,5.87,0.768638101,5.2,0.716003344,0.081618221,-1.088212877,0.153813878,-0.813004478,0.511,-0.2915791,45.8,1.660865478,3.31,0.519827994,1120,3.049218023,1.11,0.045322979,2.3,0.361727836,1.1,0.041392685,0.332,-0.478861916,11.3,1.053078443,36.9,1.567026366,7.13,0.85308953,0.052758266,-1.27770949,0.068897489,-1.161796603,0.059442716,-1.225901355,0.056251268,-1.249867685,0.041345785,-1.38356876,4.59,0.661812686,0.256608823,-0.590728415,0.078994543,-1.10240291,0.051681164,-1.286667715,2.23,0.348304863,0.043943357,-1.357106769,0.027393258,-1.562356318,0.102190034,-0.990591455,0.053772728,-1.269437928,0.068483144,-1.16441631,0.072902288,-1.137258839,1264.569677
Dace sp.,Down,Spring,Whole Body,7.5,0.875061263,0.029038253,-1.537029514,0.051291812,-1.289951957,0.039179228,-1.40694412,0.095826235,-1.018515574,0.615,-0.211124884,0.86,-0.065501549,4.62,0.664641976,6.64,0.822168079,0.057963247,-1.236847291,3.03,0.481442629,4.48,0.651278014,0.086519485,-1.062886073,0.049409264,-1.306191614,0.401,-0.396855627,40.4,1.606381365,3.01,0.478566496,1050,3.021189299,1.11,0.045322979,2.9,0.462397998,2.35,0.371067862,0.419,-0.377785977,9.71,0.98721923,48.5,1.685741739,6.39,0.805500858,0.055926458,-1.252382686,0.07303486,-1.136469799,0.063012317,-1.200574551,0.059629219,-1.224540881,0.043828645,-1.358241956,4.64,0.666517981,0.272018467,-0.565401611,0.083738253,-1.077076106,0.054784675,-1.261340911,6.08,0.783903579,0.153721274,-0.813266025,0.029038253,-1.537029514,0.108326659,-0.965264651,0.05700184,-1.244111124,0.072595633,-1.139089506,0.077280152,-1.111932035,1197.768164
Dace sp.,Down,Spring,Whole Body,7.5,0.875061263,0.028156852,-1.550415895,0.049734947,-1.303338337,0.037990018,-1.420330501,0.028156852,-1.550415895,0.943,-0.025488307,7.36,0.866877814,32,1.505149978,24.6,1.390935107,0.056203884,-1.250233672,9.15,0.961421094,7.83,0.893761762,0.083893352,-1.076272454,0.158101483,-0.801064055,0.575,-0.240332155,80.1,1.903632516,18.1,1.257678575,4420,3.645422269,5.97,0.775974331,7.82,0.893206753,3.79,0.57863921,1.77,0.247973266,25,1.397940009,101,2.004321374,11.4,1.056904851,0.054228917,-1.265769066,0.070818027,-1.14985618,0.061099699,-1.213960932,0.057819288,-1.237927262,0.140244424,-0.853114397,29.5,1.469822016,4.08,0.610660163,0.081196538,-1.090462487,3.68,0.565847819,18,1.255272505,3.12,0.494154594,0.028156852,-1.550415895,0.105038611,-0.978651031,0.055271658,-1.257497505,0.070392131,-1.152475886,0.07493446,-1.125318416,4817.029438
Dace sp.,Down,Spring,Whole Body,8,0.903089987,0.029445829,-1.530976207,0.052011736,-1.283898649,0.379,-0.42136079,0.097171237,-1.012462267,2.21,0.344392274,6.46,0.810232518,11.4,1.056904851,17.3,1.238046103,0.399,-0.399027104,7.22,0.858537198,9.8,0.991226076,0.087733859,-1.056832766,0.165339124,-0.781624367,0.442,-0.354577731,16.7,1.222716471,7.39,0.868644438,1750,3.243038049,1.35,0.130333768,4.74,0.675778342,1.11,0.045322979,0.147623562,-0.830844319,185,2.267171728,1050,3.021189299,93.4,1.970346876,0.056711433,-1.246329378,0.074059966,-1.130416492,0.063896748,-1.194521244,0.060466165,-1.218487574,3.89,0.589949601,15.1,1.178976947,0.275836476,-0.559348303,0.08491359,-1.071022799,2.61,0.416640507,0.19563498,-0.708553489,4.3,0.633468456,2.81,0.44870632,0.109847115,-0.959211343,0.057801909,-1.238057817,0.073614574,-1.133036198,0.078364844,-1.105878728,3195.720473
Dace sp.,Down,Spring,Whole Body,7.5,0.875061263,0.027464982,-1.561220679,0.04851286,-1.314143121,0.037056527,-1.431135285,0.027464982,-1.561220679,1.47,0.167317335,2.96,0.471291711,7.61,0.881384657,16.1,1.206825876,0.054822842,-1.261038456,7.19,0.85672889,7.71,0.887054378,0.081831924,-1.087077238,0.046732307,-1.330382779,0.258,-0.588380294,38,1.579783597,9.96,0.998259338,1260,3.100370545,2.73,0.436162647,13.7,1.136720567,4.31,0.63447727,0.733,-0.134896025,14,1.146128036,185,2.267171728,17,1.230448921,0.052896404,-1.27657385,10.2,1.008600172,0.059598357,-1.224765716,0.056398552,-1.248732046,0.136798338,-0.86391918,6.94,0.84135947,0.648,-0.188424994,0.079201376,-1.101267271,0.170994391,-0.767018135,4.86,0.686636269,3.5,0.544068044,0.027464982,-1.561220679,0.102457601,-0.989455815,0.053913523,-1.268302289,0.068662455,-1.16328067,0.073093171,-1.1361232,1616.084366
Swallowtail Shiner,Down,Spring,Whole Body,6.5,0.812913357,0.027949095,-1.553632244,0.049367975,-1.306554686,0.363,-0.440093375,0.027949095,-1.553632244,3.4,0.531478917,16.1,1.206825876,32.1,1.506505032,19.7,1.294466226,38.1,1.580924976,8.3,0.919078092,5.26,0.720985744,0.08327434,-1.079488803,0.156934922,-0.804280404,2.11,0.324282455,143,2.155336037,24.9,1.396199347,4620,3.664641976,9.96,0.998259338,4.79,0.680335513,2.46,0.390935107,4.11,0.613841822,73.3,1.865103975,609,2.784617293,25.2,1.401400541,0.053828786,-1.268985415,0.070295491,-1.153072529,0.060648871,-1.217177281,0.057392665,-1.241143611,1.06,0.025305865,38.6,1.586587305,1.54,0.187520721,0.080597424,-1.093678836,24.4,1.387389826,41.8,1.621176282,0.044835014,-1.348382694,0.027949095,-1.553632244,0.104263577,-0.98186738,0.054863833,-1.260713854,0.069872738,-1.155692236,0.074381552,-1.128534765,5750.597404
Darter sp.,Down,Spring,Whole Body,7.5,0.875061263,0.086638429,-1.062289432,0.04637396,-1.333725814,0.116895007,-0.932204038,0.086638429,-1.062289432,0.546,-0.262807357,0.512,-0.290730039,4.59,0.661812686,5.93,0.773054693,0.052405739,-1.280621148,1.98,0.29666519,3.19,0.503790683,0.078224009,-1.10665993,0.422,-0.374687549,0.114697354,-0.940446603,11.6,1.064457989,2.77,0.442479769,872,2.940516485,1.15,0.06069784,0.915,-0.038578906,0.231621399,-0.635221319,0.131622009,-0.880671484,22.6,1.354108439,158,2.198657087,42.7,1.630427875,0.050564237,-1.296156543,13.3,1.123851641,0.188003326,-0.725834468,0.053911977,-1.268314738,0.13076699,-0.883501873,2.5,0.397940009,0.074526477,-1.127689408,0.075709441,-1.120849963,0.451,-0.345823458,2.82,0.450249108,2.97,0.472756449,0.193,-0.714442691,0.097940314,-1.009038508,0.051536512,-1.287884981,0.065635173,-1.182863363,0.069870541,-1.155705892,1152.942581
