"","SppAlias","PFAA","C_B_re","C_WTO","C_s","k1","k2","ke","kg","kd","Total Elimination","RMR","Gill_uptake","Diet_up%","Gill_up%","Dietary_uptake","Total Elimination.1","G_V","G_D","log_BAF_re","log_ngkg_re","log_ngkg_re_max","log_ngkg_re_min","logngkg_re_Up","logngkg_re_Lo","Obs_ngg","Obs_logngkg","Obs_ngg_max","Obs_logngkg_max","Obs_ngg_min","Obs_logngkg_min","Obs_logngkg_Up","Obs_logngkg_Lo","temperature","pH","env_DO","runID","WB","iteration","loc","Seasonality"
"1","Chu","PFUA",0,0,0,8.92145937952016,0.00378663758191523,0.00123505124487175,0.000815188259373526,0.0243493231870877,0.00583687708616051,NA,0,NA,NA,0,0.00583687708616051,870.016991710387,0.485038517886786,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",14.94,1,"JBA","Spring"
"2","Chu","PFOA",2956.86602781682,0.215232629805803,0.254412091969035,0.0393992493996333,0.000373977159137706,0.000210892362258713,0.000815188259373526,0.00448027546642413,0.00140005778076994,NA,0.00678400324852623,0.556459298613185,0.409166947184595,0.00922611593003717,0.00140005778076994,870.016991710387,0.485038517886786,1.1379235354738,3.47083164759072,NA,NA,NA,NA,4.855,3.68618923424402,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",14.94,1,"JBA","Spring"
"3","Chu","PFOS",2011547.26914428,0.745110948759597,5,3.93992493996333,0.00374599907218803,0.0011027760959439,0.000815188259373526,0.0234078160238536,0.00566396342750545,NA,1.17427248402307,0.907864716232934,0.0877617038574097,12.1474459659518,0.00566396342750545,870.016991710387,0.485038517886786,3.43130929744348,6.30353024246896,NA,NA,NA,NA,1935,6.28668096935493,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",14.94,1,"JBA","Spring"
"4","Chu","PFDA",0,0,0,2.15466055510604,0.00281338753938117,0.00102891364687604,0.000815188259373526,0.0211027467621427,0.00465748944563074,NA,0,NA,NA,0,0.00465748944563074,870.016991710387,0.485038517886786,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",14.94,1,"JBA","Spring"
"5","Chu","PFHxS",18126.2415871988,0.588971578337718,1,0.0460049145549669,0.000136808042518503,0.000812893538578033,0.000815188259373526,0.0181158964511932,0.00176488984047006,NA,0.0249279401657922,0.910482147108993,0.0656594776908235,0.345668977021531,0.00176488984047006,870.016991710387,0.485038517886786,1.48821342619391,4.25830776398795,NA,NA,NA,NA,48,4.68124123737559,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",14.94,1,"JBA","Spring"
"6","Chu","PFNA",4694.92742574876,0.0107150280962978,0.167422314004652,0.28249346899512,0.00124398918291603,0.000822487248579817,0.000815188259373526,0.016947128938213,0.00288166469086937,NA,0.00181615527438199,0.821936166168944,0.0999720746117436,0.0149318067989527,0.00288166469086937,870.016991710387,0.485038517886786,2.64163556916405,3.67162888332408,NA,NA,NA,NA,2.6685,3.42626720713961,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",14.94,1,"JBA","Spring"
"7","Dac","PFNA",1060.29405437547,0.0107150280962978,0.167422314004652,0.388078927704968,0.00170894566129235,9.03592438592446e-05,0.00097738253266876,0.0194178493110793,0.00277668743782035,NA,0.0024949659683639,0.134044365661484,0.569255803492537,0.000587497094495084,0.00277668743782035,482.398667091519,0.224309638593502,1.99543301193724,3.02542632609727,NA,NA,NA,NA,6.8867,3.83801116456186,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",6.03,1,"JBA","Spring"
"8","Dac","PFOA",1408.16225281629,0.215232629805803,0.254412091969035,0.0541252104474474,0.000513755788480966,2.27564642533141e-05,0.00097738253266876,0.00513345441557269,0.00151389478540304,NA,0.00931960910671731,0.0417330125536099,0.907403048729517,0.000428624704743863,0.00151389478540304,482.398667091519,0.224309638593502,0.815744586327673,3.14865269844459,NA,NA,NA,NA,2.0783,3.3177082376103,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",6.03,1,"JBA","Spring"
"9","Dac","PFDA",0,0,0,2.95999182129124,0.00386492623488024,0.000113766065434913,0.00097738253266876,0.0241793142762482,0.00495607483298391,NA,0,NA,NA,0,0.00495607483298391,482.398667091519,0.224309638593502,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",6.03,1,"JBA","Spring"
"10","Dac","PFHxS",2639.41685205768,0.588971578337718,1,0.0631998253735158,0.000187941755364665,8.63876239387628e-05,0.00097738253266876,0.020757011332533,0.00125171191197219,NA,0.0342450688288351,0.415949985490786,0.470078322746078,0.0303018352330602,0.00125171191197219,482.398667091519,0.224309638593502,0.651413647443749,3.42150798523779,NA,NA,NA,NA,52.4,4.71933128698373,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",6.03,1,"JBA","Spring"
"11","Dac","PFUA",0,0,0,12.2559661357248,0.00520194062405877,0.000138585223319031,0.00097738253266876,0.0278992087802863,0.00631790838004656,NA,0,NA,NA,0,0.00631790838004656,482.398667091519,0.224309638593502,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",6.03,1,"JBA","Spring"
"12","Dac","PFOS",330371.521537113,0.745110948759597,5,5.41252104474474,0.00514611296427406,0.00012307080042369,0.00097738253266876,0.0268204393741153,0.00624656629736651,NA,1.61317147633241,0.336454866645065,0.642191113549539,0.845168023184076,0.00624656629736651,482.398667091519,0.224309638593502,2.64678165847656,5.51900260350204,NA,NA,NA,NA,1886.9,6.2757488844792,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",6.03,1,"JBA","Spring"
"13","Dar","PFUA",0,0,0,14.4997502029636,0.0061542956943753,0.00138364269386823,0.00107593557981841,0.0299835574334943,0.00861387396806194,NA,0,NA,NA,0,0.00861387396806194,353.029166168761,0.149118225635912,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",3.73,1,"JBA","Spring"
"14","Dar","PFHxS",14274.4859984352,0.588971578337718,1,0.074770252352097,0.000222349545953031,0.000910175573645365,0.00107593557981841,0.0223077667305198,0.00220846069941681,NA,0.0405145492572821,0.900930194229404,0.0850250765846649,0.429294299960245,0.00220846069941681,353.029166168761,0.149118225635912,1.38446614115101,4.15456047894505,NA,NA,NA,NA,37.6166666666667,4.57538030869412,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",3.73,1,"JBA","Spring"
"15","Dar","PFOS",1522073.15589934,0.745110948759597,5,6.40342852191154,0.00608824728070232,0.00123538106046514,0.00107593557981841,0.0288241932127325,0.00839956392098587,NA,1.90850588051031,0.871833895773882,0.125326883497301,13.2764820322728,0.00839956392098587,353.029166168761,0.149118225635912,3.31021458154829,6.18243552657376,NA,NA,NA,NA,679.583333333333,5.83224271932867,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",3.73,1,"JBA","Spring"
"16","Dar","PFDA",0,0,0,3.50189789497163,0.00457250487950454,0.00115252281719897,0.00107593557981841,0.0259857497756951,0.00680096327652192,NA,0,NA,NA,0,0.00680096327652192,353.029166168761,0.149118225635912,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",3.73,1,"JBA","Spring"
"17","Dar","PFNA",4442.54012931369,0.0107150280962978,0.167422314004652,0.459127207797497,0.00202181410463827,0.000921234662023556,0.00107593557981841,0.020868555973712,0.00401898434648023,NA,0.00295173655879495,0.83991691617707,0.118133869676368,0.0209864747055359,0.00401898434648023,353.029166168761,0.149118225635912,2.61763804530229,3.64763135946232,NA,NA,NA,NA,1.68091666666667,3.22554618333601,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",3.73,1,"JBA","Spring"
"18","Dar","PFOA",2458.58074938312,0.215232629805803,0.254412091969035,0.0640342852191154,0.000607812596396348,0.000236167676975481,0.00107593557981841,0.00551697456776295,0.00191991585319024,NA,0.0110258140843561,0.468372278145589,0.512071718150378,0.0100848874836376,0.00191991585319024,353.029166168761,0.149118225635912,1.05777636466855,3.39068447678546,NA,NA,NA,NA,2.6835,3.42870159962305,NA,NA,NA,NA,NA,NA,13.2458333333333,8,9.331,"default",3.73,1,"JBA","Spring"
