"","SppAlias","PFAA","C_B_re","C_WTO","C_s","k1","k2","ke","kg","kd","Total Elimination","RMR","Gill_uptake","Dietary_uptake","Sediment_uptake","Gill_up%","Diet_up%","Sed_up%","G_V","G_D","log_BAF_re","log_ngkg_re","log_ngkg_re_max","log_ngkg_re_min","logngkg_re_Up","logngkg_re_Lo","Obs_ngg","Obs_logngkg","Obs_ngg_max","Obs_logngkg_max","Obs_ngg_min","Obs_logngkg_min","Obs_logngkg_Up","Obs_logngkg_Lo","temperature","pH","env_DO","runID","WB","iteration","loc","Seasonality"
"1","Chu","PFUA",0,0,0,9.76358795445241,0.0041440718956289,0.0013479888788035,0.000858307280630153,0.02657591496618,0.00635036805506255,NA,0,0,0,NA,NA,NA,735.828955513684,0.409122305650755,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",11.5458575792611,1,"JBA","Spring"
"2","Chu","PFOA",3515.13945865909,0.292478587768972,0.126334321487212,0.0431182859763708,0.000409278205601562,0.000230177136478952,0.000858307280630153,0.00488996835377711,0.00149776262271067,NA,0.0100889403115101,0.0110520559296421,0.000308885417034185,0.470349462634896,0.515250205374634,0.0144003319904704,735.828955513684,0.409122305650755,1.07984848270475,3.54594255977537,NA,NA,NA,NA,1.9985116212021,3.30070667799481,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",11.5458575792611,1,"JBA","Spring"
"3","Chu","PFOS",2436211.96289161,0.593605049993843,2.91011954190302,4.31182859763708,0.00409959737109424,0.00120361800315182,0.000858307280630153,0.025548312920821,0.00616152265487622,NA,1.0238092921061,16.5833083650959,0.0371743223467673,0.0580249574929263,0.939868167241699,0.00210687526537509,735.828955513684,0.409122305650755,3.61321748447119,6.3867150714442,NA,NA,NA,NA,2534.22268579016,6.40384477430459,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",11.5458575792611,1,"JBA","Spring"
"4","Chu","PFDA",0,0,0,2.35804669918237,0.0030789532880422,0.00112300129974128,0.000858307280630153,0.023032459637356,0.00506026186841363,NA,0,0,0,NA,NA,NA,735.828955513684,0.409122305650755,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",11.5458575792611,1,"JBA","Spring"
"5","Chu","PFHxS",22295.4756006231,0.795882135241292,0.564125145192198,0.0503474835771371,0.000149721844732281,0.000887227517242167,0.000858307280630153,0.0197724807348379,0.0018952566426046,NA,0.036865009714726,0.467809730021457,0.00557707678267518,0.0722486594290517,0.916821292696304,0.010930047874644,735.828955513684,0.409122305650755,1.44736798460287,4.34821674102845,NA,NA,NA,NA,51.0590322822332,4.70807257939755,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",11.5458575792611,1,"JBA","Spring"
"6","Chu","PFNA",5296.43411021339,0.0127373126691673,0.0439794107438065,0.30915904156037,0.00136141378726328,0.000897698511415542,0.000858307280630153,0.0184968368164613,0.00311741957930898,NA,0.00236271322611271,0.0194671378084437,0.000406739991906156,0.106253392136455,0.875455135424171,0.0182914724393733,735.828955513684,0.409122305650755,2.6189057640688,3.72398357385304,NA,NA,NA,NA,3.96669379072939,3.59842867636795,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",11.5458575792611,1,"JBA","Spring"
"7","Dac","PFNA",933.697367255865,0.0127373126691673,0.0439794107438065,0.402480296287101,0.00177236357604658,9.6375626567862e-05,0.000997946318443613,0.0207107465050365,0.00286668552105805,NA,0.00307591042619274,0.000550350961676956,0.000364338570942343,0.77078896856111,0.137911834650745,0.0912991967881449,450.835001594197,0.215590453835859,1.86512832444527,2.97020613422951,NA,NA,NA,NA,1.38854816285703,3.14256094818442,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",5.4338078482565,1,"JBA","Spring"
"8","Dac","PFOA",1862.54949247648,0.292478587768972,0.126334321487212,0.0561337634751752,0.000532820947506409,2.42716561937888e-05,0.000997946318443613,0.00547525482317058,0.00155503892214381,NA,0.0131343390939014,0.000649873405384421,0.000276685041221936,0.934103890314466,0.0462184866586371,0.0196776230268971,450.835001594197,0.215590453835859,0.804013744765205,3.27010782183582,NA,NA,NA,NA,5.89488453038684,3.77047530250881,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",5.4338078482565,1,"JBA","Spring"
"9","Dac","PFDA",0,0,0,3.06983528398737,0.00400835125303422,0.000121340942776475,0.000997946318443613,0.0257892437323252,0.00512763851425431,NA,0,0,0,NA,NA,NA,450.835001594197,0.215590453835859,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",5.4338078482565,1,"JBA","Spring"
"10","Dac","PFHxS",3201.88182342369,0.795882135241292,0.564125145192198,0.0655451317391898,0.000194916157471438,9.21395645782101e-05,0.000997946318443613,0.0221390738502115,0.00128500204049326,NA,0.0479929034509975,0.0386229112836643,0.00499568330006854,0.523874235009269,0.421594582691161,0.0545311822995696,450.835001594197,0.215590453835859,0.604556542306334,3.50540529873191,NA,NA,NA,NA,23.60780841481,4.37305567206254,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",5.4338078482565,1,"JBA","Spring"
"11","Dac","PFUA",0,0,0,12.7107774461315,0.00539498141787994,0.000147812632775282,0.000997946318443613,0.0297568196911445,0.00654074036909884,NA,0,0,0,NA,NA,NA,450.835001594197,0.215590453835859,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",5.4338078482565,1,"JBA","Spring"
"12","Dac","PFOS",298227.244475567,0.593605049993843,2.91011954190302,5.61337634751752,0.00533708202822731,0.000131265214232179,0.000997946318443613,0.0286062226630869,0.0064662935609031,NA,1.33285141896096,0.981966784826443,0.0332990110367512,0.567625589790148,0.418193256549155,0.0141811536606979,450.835001594197,0.215590453835859,2.70104972882044,5.47454731579345,NA,NA,NA,NA,1163.31001821857,6.06569546817606,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",5.4338078482565,1,"JBA","Spring"
"13","Dar","PFUA",0,0,0,13.9944954681089,0.00593984461792545,0.00143098546341327,0.00105434901859493,0.0310094759426622,0.00842517909993365,NA,0,0,0,NA,NA,NA,377.065387393468,0.170667706041969,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",4.12779563795775,1,"JBA","Spring"
"14","Dar","PFHxS",18684.0562692581,0.795882135241292,0.564125145192198,0.0721648265000391,0.000214601608277346,0.000941318174708178,0.00105434901859493,0.0230710501013407,0.00221026880158045,NA,0.052839920507835,0.546692425419703,0.00390448784644658,0.0875649571759918,0.905964625991765,0.00647041683224294,377.065387393468,0.170667706041969,1.37062241012164,4.27147116654721,NA,NA,NA,NA,54.5997504153922,4.73719065747643,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",4.12779563795775,1,"JBA","Spring"
"15","Dar","PFOS",2005702.85070026,0.593605049993843,2.91011954190302,6.18029622413316,0.00587609771105575,0.00127765090448274,0.00105434901859493,0.0298104428728792,0.00820809763413342,NA,1.46746201964133,18.0771909212095,0.0260255857071448,0.0749826848185125,0.923687489765786,0.00132982541570172,377.065387393468,0.170667706041969,3.52876900479202,6.30226659176503,NA,NA,NA,NA,1025.50385468896,6.01093729714417,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",4.12779563795775,1,"JBA","Spring"
"16","Dar","PFDA",0,0,0,3.37987162088791,0.00441317249734778,0.00119195758050301,0.00105434901859493,0.0268748791503072,0.00665947909644571,NA,0,0,0,NA,NA,NA,377.065387393468,0.170667706041969,NA,-Inf,NA,NA,NA,NA,0,-Inf,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",4.12779563795775,1,"JBA","Spring"
"17","Dar","PFNA",6135.53163153076,0.0127373126691673,0.0439794107438065,0.443128573862898,0.0019513624668469,0.000952755661262998,0.00105434901859493,0.0215825952560929,0.00395846714670482,NA,0.00338656031876036,0.0301224911801241,0.000284756946505511,0.100212449396846,0.891361245324017,0.00842630527913633,377.065387393468,0.170667706041969,2.68277438965646,3.7878521994407,NA,NA,NA,NA,2.66233949111693,3.42526343420323,NA,NA,NA,NA,NA,NA,10.5449247566983,8,9.331,"default",4.12779563795775,1,"JBA","Spring"
