SampleID,SampleDate,Species,Sex,Tissue,Length,log_Length,Weight,log_Weight,PFBA,log_PFBA,PFPeA,log_PFPeA,PFBS,log_PFBS,PFHxA,log_PFHxA,PFPeS,log_PFPeS,PFHpA,log_PFHpA,PFHxS,log_PFHxS,PFOA,log_PFOA,SixTwoFTS,log_SixTwoFTS,PFHpS,log_PFHpS,PFNA,log_PFNA,PFOS,log_PFOS
LMB001-LIV-07302020,10-Nov-20,Largemouth Bass,M,Liver,23,1.361727836,281,2.44870632,0.0406,-1.391473966,0.0406,-1.391473966,0.0406,-1.391473966,0.0406,-1.391473966,0.0406,-1.391473966,0.134,-0.872895202,1.07,0.029383778,0.0406,-1.391473966,0.0406,-1.391473966,0.633,-0.19859629,0.0406,-1.391473966,1930,3.285557309
LMB001-MU-07302020,10-Nov-20,Largemouth Bass,M,Muscle,23,1.361727836,281,2.44870632,0.0363,-1.440093375,0.0363,-1.440093375,0.0363,-1.440093375,0.0363,-1.440093375,0.0363,-1.440093375,0.0363,-1.440093375,125,2.096910013,0.0363,-1.440093375,0.0363,-1.440093375,4.2,0.62324929,0.0363,-1.440093375,7010,3.845718018
BG002-LIV-07302020,10-Nov-20,Bluegill,M,Liver,17,1.230448921,223,2.348304863,0.387,-0.412289035,0.0294,-1.53165267,0.0294,-1.53165267,0.629,-0.201349355,0.097,-1.013228266,0.681,-0.166852888,7.47,0.873320602,1.15,0.06069784,0.0294,-1.53165267,0.956,-0.019542108,0.609,-0.215382707,847,2.92788341
BG002-GN-07302020,10-Nov-20,Bluegill,M,Gonad,17,1.230448921,223,2.348304863,1.21,0.08278537,0.063,-1.200659451,0.063,-1.200659451,2.75,0.439332694,0.7635,-0.117206291,5.52,0.741939078,41.2,1.614897216,4.09,0.611723308,0.063,-1.200659451,1.39,0.1430148,9.06,0.957128198,3370,3.527629901
BG002-MU-07302020,10-Nov-20,Bluegill,M,Muscle,17,1.230448921,223,2.348304863,0.934,-0.029653124,0.0313,-1.504455662,0.0313,-1.504455662,1.77,0.247973266,0.517,-0.286469536,2.31,0.36361198,35.9,1.555094449,6.26,0.796574333,0.0313,-1.504455662,3.21,0.506505032,3.48,0.541579244,4680,3.670245853
LMB003-LIV-07302020,10-Nov-20,Largemouth Bass,F,Liver,23,1.361727836,289,2.460897843,0.037,-1.431798276,0.037,-1.431798276,0.037,-1.431798276,0.037,-1.431798276,0.037,-1.431798276,0.037,-1.431798276,5.72,0.757396029,0.037,-1.431798276,0.037,-1.431798276,1.63,0.212187604,0.037,-1.431798276,275,2.439332694
LMB003-MU-07302020,10-Nov-20,Largemouth Bass,F,Muscle,23,1.361727836,289,2.460897843,0.0328,-1.484126156,0.0328,-1.484126156,0.0328,-1.484126156,0.0328,-1.484126156,0.0328,-1.484126156,0.0328,-1.484126156,0.812,-0.090443971,0.0328,-1.484126156,0.0328,-1.484126156,0.0328,-1.484126156,0.28,-0.552841969,1430,3.155336037
LMB003-GN-07302020,10-Nov-20,Largemouth Bass,F,Gonad,23,1.361727836,289,2.460897843,0.0312,-1.506541949,0.0312,-1.506541949,0.0312,-1.506541949,0.0312,-1.506541949,0.0312,-1.506541949,0.103,-0.987162775,2.68,0.428134794,0.0312,-1.506541949,0.0312,-1.506541949,0.624,-0.20481541,0.0312,-1.506541949,4940,3.693726949
BG004-MU-07302020,10-Nov-20,Bluegill,M,Muscle,14,1.146128036,130,2.113943352,0.0324,-1.490125715,0.0324,-1.490125715,0.0324,-1.490125715,0.0324,-1.490125715,0.0324,-1.490125715,0.0324,-1.490125715,2.23,0.348304863,0.0324,-1.490125715,0.0324,-1.490125715,0.0324,-1.490125715,0.0324,-1.490125715,428,2.631443769
BG004-GN-07302020,10-Nov-20,Bluegill,M,Gonad,14,1.146128036,130,2.113943352,0.0515,-1.288192771,0.0515,-1.288192771,0.0515,-1.288192771,0.0515,-1.288192771,0.0515,-1.288192771,0.1705,-0.768275617,12,1.079181246,0.0515,-1.288192771,0.0515,-1.288192771,0.541,-0.266802735,0.0515,-1.288192771,2140,3.330413773
