SampleID,SampleDate,Species,Sex,Tissue,Length,log_Length,Weight,log_Weight,PFBA,log_PFBA,PFPeA,log_PFPeA,PFBS,log_PFBS,PFHxA,log_PFHxA,PFPeS,log_PFPeS,PFHpA,log_PFHpA,PFHxS,log_PFHxS,PFOA,log_PFOA,SixTwoFTS,log_SixTwoFTS,PFHpS,log_PFHpS,PFNA,log_PFNA,PFOS,log_PFOS
BG004-LIV-07302020,10-Nov-20,Bluegill,M,Liver,14,1.146128036,130,2.113943352,0.0363,-1.440691989,0.0363,-1.440691989,0.0363,-1.440691989,0.0363,-1.440691989,0.1195,-0.922632095,0.299,-0.524328812,23.9,1.378397901,0.844,-0.073657553,0.0363,-1.440691989,1.7,0.230448921,0.876,-0.057495894,5730,3.758154622
BG005-MU-07302020,10-Nov-20,Bluegill,F,Muscle,14,1.146128036,121,2.08278537,0.0315,-1.501689446,0.0315,-1.501689446,0.0315,-1.501689446,0.0315,-1.501689446,0.0315,-1.501689446,0.0315,-1.501689446,1.08,0.033423755,0.0315,-1.501689446,0.0315,-1.501689446,0.0315,-1.501689446,0.0315,-1.501689446,358,2.553883027
BG005-GN-07302020,10-Nov-20,Bluegill,F,Gonad,14,1.146128036,121,2.08278537,0.0278,-1.555955204,0.0278,-1.555955204,0.0278,-1.555955204,0.0278,-1.555955204,0.0278,-1.555955204,0.0278,-1.555955204,7.99,0.902546779,0.0278,-1.555955204,0.0278,-1.555955204,1,0,0.183,-0.73754891,2140,3.330413773
BG005-LIV-07302020,10-Nov-20,Bluegill,F,Liver,14,1.146128036,121,2.08278537,0.0358,-1.446116973,0.0358,-1.446116973,0.0358,-1.446116973,0.0358,-1.446116973,0.118,-0.928117993,0.0358,-1.446116973,16.3,1.212187604,0.118,-0.928117993,0.0358,-1.446116973,0.854,-0.068542129,0.309,-0.510041521,5620,3.749736316
BG006-MU-07302020,10-Nov-20,Bluegill,F,Muscle,14,1.146128036,89,1.949390007,0.0326,-1.487449007,0.0326,-1.487449007,0.0326,-1.487449007,0.0326,-1.487449007,0.0326,-1.487449007,0.0326,-1.487449007,0.992,-0.003488328,0.0326,-1.487449007,0.0326,-1.487449007,0.0326,-1.487449007,0.0326,-1.487449007,331,2.519827994
BG006-GN-07302020,10-Nov-20,Bluegill,F,Gonad,14,1.146128036,89,1.949390007,0.0438,-1.359021943,0.0438,-1.359021943,0.0438,-1.359021943,0.0438,-1.359021943,0.1445,-0.840132153,0.0438,-1.359021943,7.5,0.875061263,0.0438,-1.359021943,0.0438,-1.359021943,0.459,-0.338187314,0.0438,-1.359021943,1600,3.204119983
BG006-LIV-07302020,10-Nov-20,Bluegill,F,Liver,14,1.146128036,89,1.949390007,0.0425,-1.37161107,0.0425,-1.37161107,0.0425,-1.37161107,0.0425,-1.37161107,0.14,-0.853871964,0.0425,-1.37161107,13.5,1.130333768,0.0425,-1.37161107,0.0425,-1.37161107,0.606,-0.217527376,0.0425,-1.37161107,3720,3.57054294
LMB007-MU-01122021,10-Nov-20,Largemouth Bass,M,Muscle,28,1.447158031,328.95,2.517129891,0.0479,-1.319664487,0.0958,-1.018634491,0.0479,-1.319664487,0.0958,-1.018634491,0.0479,-1.319664487,0.0958,-1.018634491,1.22,0.086359831,0.0958,-1.018634491,0.0479,-1.319664487,0.488,-0.311580178,4.66,0.668385917,273,2.436162647
LMB007-GON-01122021,10-Nov-20,Largemouth Bass,M,Gonad,28,1.447158031,328.95,2.517129891,0.2129,-0.671824339,0.2129,-0.671824339,0.2129,-0.671824339,0.2129,-0.671824339,0.2129,-0.671824339,0.2129,-0.671824339,2.38,0.376576957,0.2129,-0.671824339,0.2129,-0.671824339,1.31,0.117271296,0.2129,-0.671824339,2510,3.399673721
LMB007-LIV-01122021,10-Nov-20,Largemouth Bass,M,Liver,28,1.447158031,328.95,2.517129891,0.104,-0.982966661,0.052,-1.283996656,0.052,-1.283996656,0.052,-1.283996656,0.052,-1.283996656,0.865,-0.062983893,5.45,0.736396502,0.052,-1.283996656,0.052,-1.283996656,10.2,1.008600172,0.052,-1.283996656,5630,3.750508395
LMB008-MU-01122021,10-Nov-20,Largemouth Bass,F,Muscle,42,1.62324929,1166.65,3.066940585,0.0418,-1.378823718,0.0418,-1.378823718,0.0418,-1.378823718,0.0418,-1.378823718,0.0418,-1.378823718,0.0836,-1.077793723,0.0836,-1.077793723,0.0418,-1.378823718,0.0418,-1.378823718,0.0836,-1.077793723,0.0418,-1.378823718,675,2.829303773
LMB008-GON-01122021,10-Nov-20,Largemouth Bass,F,Gonad,42,1.62324929,1166.65,3.066940585,0.0416,-1.380906669,0.0416,-1.380906669,0.0416,-1.380906669,0.0416,-1.380906669,0.0416,-1.380906669,0.0833,-1.079354999,0.383,-0.416801226,0.0416,-1.380906669,0.0416,-1.380906669,0.431,-0.36552273,0.0416,-1.380906669,2920,3.465382851
LMB008-LIV-01122021,10-Nov-20,Largemouth Bass,F,Liver,42,1.62324929,1166.65,3.066940585,0.0985,-1.00656377,0.0493,-1.307153081,0.0493,-1.307153081,0.0493,-1.307153081,0.0493,-1.307153081,0.47,-0.327902142,0.554,-0.256490235,0.0493,-1.307153081,0.0493,-1.307153081,1.04,0.017033339,0.0493,-1.307153081,6370,3.804139432
LMB009-MU-01122021,10-Nov-20,Largemouth Bass,M,Muscle,32,1.505149978,483.55,2.684441388,0.0475,-1.32330639,0.0475,-1.32330639,0.0475,-1.32330639,0.095,-1.022276395,0.0475,-1.32330639,0.0475,-1.32330639,1.02,0.008600172,0.0475,-1.32330639,0.0475,-1.32330639,0.542,-0.266000713,0.095,-1.022276395,970,2.986771734
LMB009-GON-01122021,10-Nov-20,Largemouth Bass,M,Gonad,32,1.505149978,483.55,2.684441388,0.1931,-0.714217726,0.1931,-0.714217726,0.1931,-0.714217726,0.1931,-0.714217726,0.1931,-0.714217726,0.1931,-0.714217726,2.8,0.447158031,0.1931,-0.714217726,0.1931,-0.714217726,0.995,-0.002176919,0.1931,-0.714217726,3260,3.5132176
LMB009-LIV-01122021,10-Nov-20,Largemouth Bass,M,Liver,32,1.505149978,483.55,2.684441388,0.0816,-1.088309841,0.0408,-1.389339837,0.0408,-1.389339837,0.0408,-1.389339837,0.0816,-1.088309841,0.466,-0.331614083,3.36,0.526339277,0.0408,-1.389339837,0.0408,-1.389339837,3.23,0.509202522,0.0408,-1.389339837,3910,3.592176757
BG010-LIV-01122021,10-Nov-20,Bluegill,F,Liver,20,1.301029996,152.05,2.181986424,0.2275,-0.643018599,0.1138,-0.943857738,0.1138,-0.943857738,0.1138,-0.943857738,0.1138,-0.943857738,0.2275,-0.643018599,3.45,0.537819095,0.2275,-0.643018599,0.1138,-0.943857738,1.49,0.173186268,0.1138,-0.943857738,2170,3.336459734
BG010-MU-01122021,10-Nov-20,Bluegill,F,Muscle,20,1.301029996,152.05,2.181986424,0.0458,-1.339134522,0.0917,-1.037630664,0.0458,-1.339134522,0.0917,-1.037630664,0.0458,-1.339134522,0.0917,-1.037630664,1.39,0.1430148,0.0458,-1.339134522,0.0458,-1.339134522,0.0917,-1.037630664,0.0917,-1.037630664,381,2.580924976
BG010-GON-01122021,10-Nov-20,Bluegill,F,Gonad,20,1.301029996,152.05,2.181986424,0.0482,-1.316952962,0.0482,-1.316952962,0.0482,-1.316952962,0.0482,-1.316952962,0.0965,-1.015472687,0.0482,-1.316952962,3.65,0.562292864,0.0965,-1.015472687,0.0482,-1.316952962,1.09,0.037426498,0.0965,-1.015472687,1370,3.136720567
BG011-MU-01122021,10-Nov-20,Bluegill,M,Muscle,18,1.255272505,132.6,2.122543524,0.0476,-1.322393047,0.0476,-1.322393047,0.0476,-1.322393047,0.0476,-1.322393047,0.0476,-1.322393047,0.0952,-1.021363052,1.74,0.240549248,0.0952,-1.021363052,0.0476,-1.322393047,0.403,-0.394694954,0.0952,-1.021363052,584,2.766412847
BG011-LIV-01122021,10-Nov-20,Bluegill,M,Liver,18,1.255272505,132.6,2.122543524,0.078,-1.107842854,0.1378,-0.860765297,0.1327,-0.877004954,0.1053,-0.977757461,0.3408,-0.467486086,0.2574,-0.589328915,24.5,1.389166084,0.2574,-0.589328915,0.1177,-0.929055296,3.2,0.505149978,0.4454,-0.351254377,8910,3.949877704
LMB012-MU-01122021,10-Nov-20,Largemouth Bass,M,Muscle,28,1.447158031,368.9,2.566908655,0.0479,-1.319664487,0.0479,-1.319664487,0.0479,-1.319664487,0.0958,-1.018634491,0.0479,-1.319664487,0.0958,-1.018634491,1.36,0.133538908,0.0479,-1.319664487,0.0479,-1.319664487,0.297,-0.527243551,0.0479,-1.319664487,751,2.875639937
LMB012-LIV-01122021,10-Nov-20,Largemouth Bass,M,Liver,28,1.447158031,368.9,2.566908655,0.0599,-1.222573178,0.0599,-1.222573178,0.0599,-1.222573178,0.0599,-1.222573178,0.0599,-1.222573178,0.372,-0.42945706,2.61,0.416640507,0.1198,-0.921543182,0.0599,-1.222573178,2.61,0.416640507,0.0599,-1.222573178,5340,3.727541257
LMB013-MU-01122021,10-Nov-20,Largemouth Bass,F,Muscle,32,1.505149978,519.55,2.715627349,0.0486,-1.313363731,0.0486,-1.313363731,0.0486,-1.313363731,0.0486,-1.313363731,0.0486,-1.313363731,0.0971,-1.01278077,0.356,-0.448550002,0.0486,-1.313363731,0.0486,-1.313363731,0.0971,-1.01278077,0.0971,-1.01278077,479,2.680335513
LMB013-GON-01122021,10-Nov-20,Largemouth Bass,F,Gonad,32,1.505149978,519.55,2.715627349,0.0449,-1.347753659,0.0897,-1.047207557,0.0449,-1.347753659,0.0449,-1.347753659,0.0449,-1.347753659,0.0897,-1.047207557,1.11,0.045322979,0.0449,-1.347753659,0.0449,-1.347753659,1,0,0.0449,-1.347753659,2230,3.348304863
LMB013-LIV-01122021,10-Nov-20,Largemouth Bass,F,Liver,32,1.505149978,519.55,2.715627349,0.0312,-1.505683471,0.0551,-1.258605913,0.0531,-1.274845571,0.0421,-1.375598077,0.1364,-0.865326702,0.103,-0.987169531,5.21,0.716837723,0.103,-0.987169531,0.0471,-1.326895912,1.74,0.240549248,0.054,-1.267608934,6910,3.839478047
LMB014-MU-01122021,10-Nov-20,Largemouth Bass,M,Muscle,31,1.491361694,526.2,2.721150844,0.0484,-1.315154638,0.0484,-1.315154638,0.0484,-1.315154638,0.0484,-1.315154638,0.0484,-1.315154638,0.0969,-1.013676223,0.715,-0.145693958,0.0484,-1.315154638,0.0484,-1.315154638,0.251,-0.600326279,0.0484,-1.315154638,416,2.619093331
LMB014-GON-01122021,10-Nov-20,Largemouth Bass,M,Gonad,31,1.491361694,526.2,2.721150844,0.4278,-0.36875922,0.4278,-0.36875922,0.4278,-0.36875922,0.4278,-0.36875922,0.4278,-0.36875922,0.215,-0.66756154,2.3,0.361727836,0.4278,-0.36875922,0.4278,-0.36875922,1.15,0.06069784,0.4278,-0.36875922,1850,3.267171728
LMB014-LIV-01122021,10-Nov-20,Largemouth Bass,M,Liver,31,1.491361694,526.2,2.721150844,0.0925,-1.034048832,0.0495,-1.305485215,0.0477,-1.321724872,0.0378,-1.422477378,0.1224,-0.912206004,0.0925,-1.034048832,7.49,0.874481818,0.028,-1.552562772,0.0423,-1.373775214,0.885,-0.053056729,0.0485,-1.314488235,4570,3.6599162
BG015-MU-01122021,10-Nov-20,Bluegill,F,Muscle,16,1.204119983,80.75,1.907142531,0.0426,-1.370590401,0.0426,-1.370590401,0.0426,-1.370590401,0.0426,-1.370590401,0.0426,-1.370590401,0.0852,-1.069560405,1.01,0.004321374,0.0426,-1.370590401,0.0426,-1.370590401,0.0852,-1.069560405,0.0852,-1.069560405,311,2.492760389
BG015-GON-01122021,10-Nov-20,Bluegill,F,Gonad,16,1.204119983,80.75,1.907142531,0.0806,-1.093664958,0.0806,-1.093664958,0.0806,-1.093664958,0.1612,-0.792634963,0.1612,-0.792634963,0.1612,-0.792634963,3.15,0.498310554,0.1612,-0.792634963,0.0806,-1.093664958,0.595,-0.225483034,0.0806,-1.093664958,1080,3.033423755
BG016-MU-01122021,10-Nov-20,Bluegill,F,Muscle,18,1.255272505,133.25,2.124667218,0.0434,-1.36251027,0.0434,-1.36251027,0.0434,-1.36251027,0.0869,-1.060980224,0.0434,-1.36251027,0.0869,-1.060980224,0.414,-0.382999659,0.0434,-1.36251027,0.0434,-1.36251027,0.0869,-1.060980224,0.0869,-1.060980224,167,2.222716471
BG016-GON-01122021,10-Nov-20,Bluegill,F,Gonad,18,1.255272505,133.25,2.124667218,0.0496,-1.304518324,0.0496,-1.304518324,0.0496,-1.304518324,0.0496,-1.304518324,0.0992,-1.003488328,0.0496,-1.304518324,4.54,0.657055853,0.0992,-1.003488328,0.0496,-1.304518324,0.797,-0.098541679,0.0496,-1.304518324,841,2.924795996
BG016-LIV-01122021,10-Nov-20,Bluegill,F,Liver,18,1.255272505,133.25,2.124667218,0.2115,-0.674689628,0.1057,-0.975925013,0.1057,-0.975925013,0.1057,-0.975925013,0.1057,-0.975925013,0.592,-0.227678293,3.58,0.553883027,0.2115,-0.674689628,0.1057,-0.975925013,1.38,0.139879086,0.1057,-0.975925013,1350,3.130333768
BG017-MU-01122021,10-Nov-20,Bluegill,F,Muscle,20,1.301029996,172.65,2.237166583,0.0469,-1.328827157,0.0939,-1.027334408,0.0469,-1.328827157,0.0469,-1.328827157,0.0469,-1.328827157,0.359,-0.444905551,1.05,0.021189299,0.0939,-1.027334408,0.0469,-1.328827157,0.244,-0.612610174,0.0939,-1.027334408,364,2.561101384
BG017-GON-01122021,10-Nov-20,Bluegill,F,Gonad,20,1.301029996,172.65,2.237166583,0.0686,-1.163675884,0.0686,-1.163675884,0.0686,-1.163675884,0.0686,-1.163675884,0.1372,-0.862645889,0.1372,-0.862645889,3.01,0.478566496,0.1372,-0.862645889,0.0686,-1.163675884,1.25,0.096910013,0.0686,-1.163675884,1910,3.281033367
BG017-LIV-01122021,10-Nov-20,Bluegill,F,Liver,20,1.301029996,172.65,2.237166583,0.0655,-1.1837587,0.0655,-1.1837587,0.0655,-1.1837587,0.0655,-1.1837587,0.0655,-1.1837587,1,0,2.88,0.459392488,0.131,-0.882728704,0.0655,-1.1837587,1.75,0.243038049,0.0655,-1.1837587,3140,3.496929648
BG018-MU-01122021,10-Nov-20,Bluegill,F,Muscle,17,1.230448921,137.6,2.138618434,0.0434,-1.36251027,0.0434,-1.36251027,0.0434,-1.36251027,0.0434,-1.36251027,0.0434,-1.36251027,0.0434,-1.36251027,1.93,0.285557309,0.0876,-1.057495894,0.0434,-1.36251027,0.539,-0.268411235,0.0434,-1.36251027,511,2.7084209
BG018-GON-01122021,10-Nov-20,Bluegill,F,Gonad,17,1.230448921,137.6,2.138618434,0.0528,-1.277366077,0.0528,-1.277366077,0.0528,-1.277366077,0.0528,-1.277366077,0.1056,-0.976336082,0.0528,-1.277366077,5.56,0.745074792,0.1056,-0.976336082,0.0528,-1.277366077,2.66,0.424881637,0.0528,-1.277366077,1810,3.257678575
BG018-LIV-01122021,10-Nov-20,Bluegill,F,Liver,17,1.230448921,137.6,2.138618434,0.0955,-1.019996628,0.0955,-1.019996628,0.0955,-1.019996628,0.0955,-1.019996628,0.1909,-0.719194072,1.09,0.037426498,7.83,0.893761762,0.1909,-0.719194072,0.0955,-1.019996628,4.48,0.651278014,0.0955,-1.019996628,4100,3.612783857
BG019-MU-01122021,10-Nov-20,Bluegill,F,Muscle,17,1.230448921,112.15,2.049799278,0.045,-1.346787486,0.045,-1.346787486,0.045,-1.346787486,0.045,-1.346787486,0.045,-1.346787486,0.09,-1.045757491,2.69,0.42975228,0.09,-1.045757491,0.045,-1.346787486,0.475,-0.32330639,0.045,-1.346787486,335,2.525044807
BG019-GON-01122021,10-Nov-20,Bluegill,F,Gonad,17,1.230448921,112.15,2.049799278,0.0727,-1.138465589,0.0727,-1.138465589,0.0727,-1.138465589,0.1453,-0.837734386,0.1453,-0.837734386,0.0727,-1.138465589,6.48,0.811575006,0.277,-0.557520231,0.0727,-1.138465589,2.09,0.320146286,0.316,-0.500312917,1850,3.267171728
BG019-LIV-01122021,10-Nov-20,Bluegill,F,Liver,17,1.230448921,112.15,2.049799278,0.2062,-0.685711339,0.2062,-0.685711339,0.2062,-0.685711339,0.2062,-0.685711339,0.4125,-0.384576047,1.36,0.133538908,7.37,0.867467488,0.297,-0.527243551,0.2062,-0.685711339,2.89,0.460897843,0.2062,-0.685711339,4240,3.627365857
BG020-MU-01122021,10-Nov-20,Bluegill,M,Muscle,15,1.176091259,83.25,1.920384242,0.0438,-1.358525889,0.0877,-1.057000407,0.0438,-1.358525889,0.0438,-1.358525889,0.0438,-1.358525889,0.334,-0.476253533,1.93,0.285557309,0.0877,-1.057000407,0.0438,-1.358525889,0.292,-0.534617149,0.0877,-1.057000407,307,2.487138375
BG020-LIV-01122021,10-Nov-20,Bluegill,M,Liver,15,1.176091259,83.25,1.920384242,0.1284,-0.891434976,0.1284,-0.891434976,0.1284,-0.891434976,0.1284,-0.891434976,0.1284,-0.891434976,0.257,-0.590066877,5.1,0.707570176,0.2568,-0.590404981,0.1284,-0.891434976,2.07,0.315970345,0.1284,-0.891434976,2720,3.434568904
BG021-MU-01122021,10-Nov-20,Bluegill,F,Muscle,17,1.230448921,141.25,2.149988456,0.0428,-1.368556231,0.0428,-1.368556231,0.0428,-1.368556231,0.0428,-1.368556231,0.0428,-1.368556231,0.0428,-1.368556231,0.0428,-1.368556231,0.0428,-1.368556231,0.0428,-1.368556231,0.0428,-1.368556231,0.0428,-1.368556231,205,2.311753861
BG021-GON-01122021,10-Nov-20,Bluegill,F,Gonad,17,1.230448921,141.25,2.149988456,0.0447,-1.349692477,0.0447,-1.349692477,0.0447,-1.349692477,0.0447,-1.349692477,0.0894,-1.048662481,0.0447,-1.349692477,2.65,0.423245874,0.0894,-1.048662481,0.0447,-1.349692477,0.938,-0.027797162,0.0447,-1.349692477,914,2.960946196
BG021-LIV-01122021,10-Nov-20,Bluegill,F,Liver,17,1.230448921,141.25,2.149988456,1.8908,0.276645594,1.8908,0.276645594,1.8908,0.276645594,0.432,-0.364516253,1.8908,0.276645594,1.38,0.139879086,5.93,0.773054693,1.8908,0.276645594,1.8908,0.276645594,3.7815,0.577664105,1.8908,0.276645594,2550,3.40654018
BG022-MU-01122021,10-Nov-20,Bluegill,F,Muscle,21,1.322219295,221.5,2.345373731,0.041,-1.387216143,0.041,-1.387216143,0.041,-1.387216143,0.041,-1.387216143,0.041,-1.387216143,0.0821,-1.085656843,1.49,0.173186268,0.0821,-1.085656843,0.041,-1.387216143,0.0821,-1.085656843,0.041,-1.387216143,416,2.619093331
BG022-GON-01122021,10-Nov-20,Bluegill,F,Gonad,21,1.322219295,221.5,2.345373731,0.0742,-1.129596095,0.0742,-1.129596095,0.0742,-1.129596095,0.0742,-1.129596095,0.0742,-1.129596095,0.0742,-1.129596095,4.63,0.665580991,0.1484,-0.828566099,0.0742,-1.129596095,1.09,0.037426498,0.0742,-1.129596095,2850,3.45484486
BG022-LIV-01122021,10-Nov-20,Bluegill,F,Liver,21,1.322219295,221.5,2.345373731,0.0441,-1.355561411,0.0441,-1.355561411,0.0441,-1.355561411,0.0441,-1.355561411,0.0882,-1.054531415,0.0882,-1.054531415,2.94,0.46834733,0.0441,-1.355561411,0.0441,-1.355561411,2.64,0.421603927,0.0882,-1.054531415,3410,3.532754379
BG023-MU-01122021,10-Nov-20,Bluegill,M,Muscle,21,1.322219295,179.5,2.254064453,0.0489,-1.310691141,0.0489,-1.310691141,0.0489,-1.310691141,0.0489,-1.310691141,0.0489,-1.310691141,0.0978,-1.009661145,1.77,0.247973266,0.0489,-1.310691141,0.0489,-1.310691141,0.0978,-1.009661145,0.0978,-1.009661145,230,2.361727836
BG023-LIV-01122021,10-Nov-20,Bluegill,M,Liver,21,1.322219295,179.5,2.254064453,0.0515,-1.288192771,0.0515,-1.288192771,0.0515,-1.288192771,0.0515,-1.288192771,0.0515,-1.288192771,0.284,-0.54668166,3.56,0.551449998,0.103,-0.987162775,0.0515,-1.288192771,1.4,0.146128036,0.103,-0.987162775,2040,3.309630167
BG024-MU-01122021,10-Nov-20,Bluegill,F,Muscle,15,1.176091259,84.55,1.927113612,0.0432,-1.364516253,0.0432,-1.364516253,0.0432,-1.364516253,0.0432,-1.364516253,0.0432,-1.364516253,0.0864,-1.063486258,1.61,0.206825876,0.0432,-1.364516253,0.0432,-1.364516253,0.269,-0.57024772,0.0432,-1.364516253,317,2.501059262
BG024-GON-01122021,10-Nov-20,Bluegill,F,Gonad,15,1.176091259,84.55,1.927113612,0.1364,-0.86518563,0.1364,-0.86518563,0.1364,-0.86518563,0.1364,-0.86518563,0.2729,-0.563996464,0.1364,-0.86518563,7.59,0.880241776,0.2729,-0.563996464,0.1364,-0.86518563,1.82,0.260071388,0.473,-0.325138859,3050,3.484299839
BG024-LIV-01122021,10-Nov-20,Bluegill,F,Liver,15,1.176091259,84.55,1.927113612,0.2795,-0.553618188,0.2795,-0.553618188,0.2795,-0.553618188,0.2795,-0.553618188,0.559,-0.252588192,1.39,0.1430148,13.9,1.1430148,0.559,-0.252588192,0.2795,-0.553618188,3.9,0.591064607,0.2795,-0.553618188,7650,3.883661435
BG025-MU-01122021,10-Nov-20,Bluegill,F,Muscle,16,1.204119983,93,1.968482949,0.045,-1.346787486,0.045,-1.346787486,0.045,-1.346787486,0.045,-1.346787486,0.045,-1.346787486,0.0901,-1.045275209,4.5,0.653212514,0.0901,-1.045275209,0.045,-1.346787486,0.209,-0.679853714,0.045,-1.346787486,285,2.45484486
BG025-GON-01122021,10-Nov-20,Bluegill,F,Gonad,16,1.204119983,93,1.968482949,0.1576,-0.802443787,0.1576,-0.802443787,0.1576,-0.802443787,0.1576,-0.802443787,0.1576,-0.802443787,0.1576,-0.802443787,5.01,0.699837726,0.3151,-0.501551597,0.1576,-0.802443787,0.583,-0.234331445,0.3151,-0.501551597,963,2.983626287
BG025-LIV-01122021,10-Nov-20,Bluegill,F,Liver,16,1.204119983,93,1.968482949,0.4707,-0.327255802,0.4707,-0.327255802,0.4707,-0.327255802,0.4707,-0.327255802,0.4707,-0.327255802,1.22,0.086359831,5.51,0.741151599,0.9414,-0.026225806,0.4707,-0.327255802,0.72,-0.142667504,0.4707,-0.327255802,2380,3.376576957
BG026-MU-01122021,10-Nov-20,Bluegill,M,Muscle,15,1.176091259,82.7,1.91750551,0.0845,-1.073143291,0.0422,-1.374687549,0.0422,-1.374687549,0.0422,-1.374687549,0.0422,-1.374687549,0.0845,-1.073143291,1.49,0.173186268,0.0845,-1.073143291,0.0422,-1.374687549,0.0845,-1.073143291,0.0845,-1.073143291,255,2.40654018
BG026-LIV-01122021,10-Nov-20,Bluegill,M,Liver,15,1.176091259,82.7,1.91750551,0.316,-0.500312917,0.316,-0.500312917,0.316,-0.500312917,0.316,-0.500312917,0.316,-0.500312917,2.63,0.419955748,2.7,0.431363764,0.316,-0.500312917,0.316,-0.500312917,1.75,0.243038049,0.316,-0.500312917,2090,3.320146286
BG027-MU-01122021,10-Nov-20,Bluegill,F,Muscle,16,1.204119983,83.8,1.923244019,0.0857,-1.067019178,0.0429,-1.367542708,0.0429,-1.367542708,0.0429,-1.367542708,0.0429,-1.367542708,0.0429,-1.367542708,1.16,0.064457989,0.0429,-1.367542708,0.0429,-1.367542708,0.229,-0.640164518,0.0429,-1.367542708,279,2.445604203
BG027-GON-01122021,10-Nov-20,Bluegill,F,Gonad,16,1.204119983,83.8,1.923244019,0.1502,-0.823330067,0.1502,-0.823330067,0.1502,-0.823330067,0.1502,-0.823330067,0.1502,-0.823330067,0.1502,-0.823330067,4.67,0.669316881,0.1502,-0.823330067,0.1502,-0.823330067,1.14,0.056904851,0.1502,-0.823330067,1260,3.100370545
