SampleID,Location,SampleDate,WaterTemp,Precipitation,PFBA,log_PFBA,PFPeA,log_PFPeA,PFBS,log_PFBS,PFHxA,log_PFHxA,PFPeS,log_PFPeS,PFHpA,log_PFHpA,PFHxS,log_PFHxS,PFOA,log_PFOA,SixTwoFTS,log_SixTwoFTS,PFHpS,log_PFHpS,PFNA,log_PFNA,PFOS,log_PFOS,SumPFAS
WG025-SW-EAST-102320,South,23-Oct-20,17.4,0,11.06,1.0438,20.57,1.3132,8.94,0.9513,22.79,1.3577,8.081,0.9075,8.672,0.9381,69.58,1.8425,31.89,1.5037,30.5,1.4843,4.483,0.6516,3.781,0.5776,279.2,2.4459,499.547
WG026-SW-HEAD-102320,Head,23-Oct-20,17.8,0,11.57,1.0633,21.07,1.3237,12.65,1.1021,29.35,1.4676,10.12,1.0052,11.31,1.0535,88.05,1.9447,39.95,1.6015,23.28,1.367,8.831,0.946,3.444,0.5371,467.5,2.6698,727.125
WG028-SW-WEST-102720,North,27-Oct-20,14.5,0.4722,11.87,1.0745,18.13,1.2584,7.864,0.8956,23.68,1.3744,7.688,0.8858,10.38,1.0162,58.68,1.7685,38.08,1.5807,31.06,1.4922,6.26,0.7966,3.694,0.5675,325.9,2.5131,543.286
WG029-SW-SPILL-102720,Spill,27-Oct-20,14.2,0.4722,10.76,1.0318,21.76,1.3377,8.463,0.9275,24.31,1.3858,8.235,0.9157,9.914,0.9962,71.52,1.8544,26.15,1.4175,20.17,1.3047,4.704,0.6725,3.409,0.5326,375.9,2.5751,585.295
WG030-SW-EAST-102720,South,27-Oct-20,14,0.4722,9.889,0.9952,19.93,1.2995,6.795,0.8322,20.66,1.3151,6.902,0.839,10.6,1.0253,64.05,1.8065,27.81,1.4442,16.71,1.223,3.788,0.5784,4.015,0.6037,314.4,2.4975,505.549
WG031-SW-HEAD-102720,Head,27-Oct-20,14.3,0.4722,15.55,1.1917,18.67,1.2711,12.61,1.1007,29.61,1.4714,9.755,0.9892,12.55,1.0986,82.23,1.915,48.14,1.6825,38.48,1.5852,5.599,0.7481,4.441,0.6475,443.3,2.6467,720.935
WG033-SW-WEST-102920,North,29-Oct-20,13.7,42.682,10.51,1.0216,20.07,1.3025,7.143,0.8539,22.23,1.3469,6.412,0.807,9.751,0.989,67.63,1.8301,30.21,1.4802,27.72,1.4428,3.245,0.5112,3.959,0.5976,357.2,2.5529,566.08
WG034-SW-SPILL-102920,Spill,29-Oct-20,14,42.682,10.11,1.0048,18.44,1.2658,7.882,0.8966,20.11,1.3034,5.631,0.7506,10.03,1.0013,62.63,1.7968,23.85,1.3775,23.27,1.3668,5.265,0.7214,3.21,0.5065,442.4,2.6458,632.828
WG035-SW-EAST-102920,South,29-Oct-20,14,42.682,11.08,1.0445,22.74,1.3568,7.172,0.8556,22.63,1.3547,6.459,0.8102,9.733,0.9882,64.76,1.8113,28.36,1.4527,38.12,1.5812,5.006,0.6995,3.26,0.5132,279.5,2.4464,498.82
WG036-SW-HEAD-102920,Head,29-Oct-20,14.1,42.682,5.722,0.7575,10.07,1.003,2.5,0.3979,9.728,0.988,2.747,0.4389,6.103,0.7855,16.64,1.2212,9.711,0.9873,33.37,1.5234,1.271,0.1041,2.66,0.4249,103.1,2.0133,203.622
