"Sample_ID","Sampling_Date","Matrix","Dilution_Factor","Units","Analyte","CAS","Result Value","Q","LOQ","LOD","DL"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluorobutanoic acid (PFBA)","375-22-4","4.2","U H H3 *+ cn","4.8","4.2","2.1"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluoropentanoic acid (PFPA)","2706-90-3","0.95","U H H3 M cn","1.9","0.95","0.48"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluorohexanoic acid (PFHxA)","307-24-4","0.88","J H H3 M cn","1.9","1.5","0.76"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluoroheptanoic acid (PFHpA)","375-85-9","1.3","U H H3 cn","1.9","1.3","0.67"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluorooctanoic acid (PFOA)","335-67-1","1.1","J H H3 M cn","1.9","1.8","0.87"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluorononanoic acid (PFNA)","375-95-1","1.7","U H H3 cn","1.9","1.7","0.86"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluorodecanoic acid","335-76-2","0.95","U H H3 cn","1.9","0.95","0.48"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluoroundecanoic acid","2058-94-8","0.95","U H H3 cn","1.9","0.95","0.48"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluorododecanoic acid","307-55-1","0.95","U H H3 cn","1.9","0.95","0.48"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluorotridecanoic acid","72629-94-8","0.95","U H H3 cn","1.9","0.95","0.48"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluorotetradecanoic acid","376-06-7","0.95","U H H3 cn","1.9","0.95","0.48"
"JBA001-SW-FB-11172020","11/17/2020 00:00:00","Water","1","ng/L","Perfluorobutanesulfonic acid","375-73-5","0.95","U H H3 cn","1.9","0.95","0.48"
